"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Illinois",,"ELEC.GEN..A",,,,,,,
"Illinois : all fuels (utility-scale)",,"ELEC.GEN.ALL-IL-98.A",,,,,,,
"Illinois : coal","thousand megawatthours","ELEC.GEN.COW-IL-98.A",91713,88114,79041,86201,85491,72119,57816
"Illinois : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IL-98.A",110,84,71,72,87,56,64
"Illinois : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IL-98.A","--","--","--","--",0,0,0
"Illinois : natural gas","thousand megawatthours","ELEC.GEN.NG-IL-98.A",4894,5157,10443,5876,4550,9905,16530
"Illinois : other gases","thousand megawatthours","ELEC.GEN.OOG-IL-98.A",2,0,8,17,8,2,6
"Illinois : nuclear","thousand megawatthours","ELEC.GEN.NUC-IL-98.A",96190,95823,96401,97131,97858,97282,98240
"Illinois : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IL-98.A",119,140,109,119,129,123,127
"Illinois : other renewables",,"ELEC.GEN.AOR-IL-98.A",,,,,,,
"Illinois : wind","thousand megawatthours","ELEC.GEN.WND-IL-98.A",4454,6213,7727,9625,10079,10742,10622
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-98.A",14,14,31,52,50,49,58
"Illinois : geothermal","thousand megawatthours","ELEC.GEN.GEO-IL-98.A","--","--","--","--","--","--","--"
"Illinois : biomass","thousand megawatthours","ELEC.GEN.BIO-IL-98.A",670,638,615,608,566,527,573
"Illinois : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IL-98.A","--","--","--","--","--","--","--"
"Illinois : other","thousand megawatthours","ELEC.GEN.OTH-IL-98.A",17,6,0,0,-0,-5,-5
"Illinois : all solar",,"ELEC.GEN.TSN-IL-98.A",,,,,,,
"Illinois : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IL-98.A","--","--","--","--","--","--","--"
