"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Texas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-TX-98.A","--","--","--","--","--","--","--"
"Texas : other","thousand megawatthours","ELEC.GEN.OTH-TX-98.A",0,0,0,-1,12,91,13
"Texas : all solar",,"ELEC.GEN.TSN-TX-98.A",,,,,,,
"Texas : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-TX-98.A","--","--","--","--","--","--","--"
"Texas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TX-98.A",8,29,118,161,280,399,749
"Mountain",,"ELEC.GEN..A",,,,,,,
"Arizona",,"ELEC.GEN..A",,,,,,,
"Arizona : all fuels (utility-scale)",,"ELEC.GEN.ALL-AZ-98.A",,,,,,,
"Arizona : coal","thousand megawatthours","ELEC.GEN.COW-AZ-98.A",43348,43412,39930,43492,42665,36167,30403
"Arizona : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AZ-98.A",63,52,41,43,57,48,52
"Arizona : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AZ-98.A","--","--","--","--","--","--","--"
"Arizona : natural gas","thousand megawatthours","ELEC.GEN.NG-AZ-98.A",29603,23187,30175,29547,27110,33527,34081
"Arizona : other gases","thousand megawatthours","ELEC.GEN.OOG-AZ-98.A","--","--","--","--","--","--","--"
"Arizona : nuclear","thousand megawatthours","ELEC.GEN.NUC-AZ-98.A",31200,31278,31934,31431,32321,32526,32377
"Arizona : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AZ-98.A",6622,9174,6717,5915,6118,6536,7158
"Arizona : other renewables",,"ELEC.GEN.AOR-AZ-98.A",,,,,,,
"Arizona : wind","thousand megawatthours","ELEC.GEN.WND-AZ-98.A",135,256,532,450,468,452,543
"Arizona : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AZ-98.A",16,81,951,2092,3118,3435,3732
"Arizona : geothermal","thousand megawatthours","ELEC.GEN.GEO-AZ-98.A","--","--","--","--","--","--","--"
"Arizona : biomass","thousand megawatthours","ELEC.GEN.BIO-AZ-98.A",164,186,207,171,231,227,219
"Arizona : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AZ-98.A",209,121,79,24,14,73,59
"Arizona : other","thousand megawatthours","ELEC.GEN.OTH-AZ-98.A",15,15,24,3,0,"--","--"
"Arizona : all solar",,"ELEC.GEN.TSN-AZ-98.A",,,,,,,
"Arizona : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AZ-98.A","--","--","--","--","--","--","--"
"Arizona : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AZ-98.A",16,81,951,2092,3118,3435,3732
"Colorado",,"ELEC.GEN..A",,,,,,,
"Colorado : all fuels (utility-scale)",,"ELEC.GEN.ALL-CO-98.A",,,,,,,
"Colorado : coal","thousand megawatthours","ELEC.GEN.COW-CO-98.A",34559,33955,34513,33696,32537,31533,29974
"Colorado : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CO-98.A",17,22,11,10,10,7,10
"Colorado : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CO-98.A","--","--","--","--","--","--","--"
"Colorado : natural gas","thousand megawatthours","ELEC.GEN.NG-CO-98.A",11045,10170,10505,10685,11929,11621,12647
"Colorado : other gases","thousand megawatthours","ELEC.GEN.OOG-CO-98.A",0,"--","--","--","--","--","--"
"Colorado : nuclear","thousand megawatthours","ELEC.GEN.NUC-CO-98.A","--","--","--","--","--","--","--"
"Colorado : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CO-98.A",1578,2083,1497,1206,1764,1614,1909
"Colorado : other renewables",,"ELEC.GEN.AOR-CO-98.A",,,,,,,
"Colorado : wind","thousand megawatthours","ELEC.GEN.WND-CO-98.A",3452,5192,5960,7196,7365,7469,9415
"Colorado : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CO-98.A",42,92,150,234,241,238,532
"Colorado : geothermal","thousand megawatthours","ELEC.GEN.GEO-CO-98.A","--","--","--","--","--","--","--"
"Colorado : biomass","thousand megawatthours","ELEC.GEN.BIO-CO-98.A",60,62,58,84,126,81,"NM"
"Colorado : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CO-98.A",-121,-243,-244,-280,-225,-279,-294
"Colorado : other","thousand megawatthours","ELEC.GEN.OTH-CO-98.A",22,15,11,8,4,12,13
"Colorado : all solar",,"ELEC.GEN.TSN-CO-98.A",,,,,,,
"Colorado : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CO-98.A","--","--","--","--","--","--","--"
"Colorado : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CO-98.A",42,92,150,234,241,238,532
"Idaho",,"ELEC.GEN..A",,,,,,,
"Idaho : all fuels (utility-scale)",,"ELEC.GEN.ALL-ID-98.A",,,,,,,
"Idaho : coal","thousand megawatthours","ELEC.GEN.COW-ID-98.A","--","--","--","--","--","--","--"
"Idaho : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ID-98.A",0,0,0,0,0,0,"NM"
"Idaho : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ID-98.A","--","--","--","--","--","--","--"
"Idaho : natural gas","thousand megawatthours","ELEC.GEN.NG-ID-98.A",1659,1069,1849,3349,2522,3734,3205
"Idaho : other gases","thousand megawatthours","ELEC.GEN.OOG-ID-98.A","--","--","--","--","--","--","--"
"Idaho : nuclear","thousand megawatthours","ELEC.GEN.NUC-ID-98.A","--","--","--","--","--","--","--"
"Idaho : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ID-98.A",9154,13405,10940,8473,9002,8757,9446
"Idaho : other renewables",,"ELEC.GEN.AOR-ID-98.A",,,,,,,
"Idaho : wind","thousand megawatthours","ELEC.GEN.WND-ID-98.A",441,1307,1891,2460,2806,2270,2427
"Idaho : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ID-98.A","--","--","--","--","--","--",29
"Idaho : geothermal","thousand megawatthours","ELEC.GEN.GEO-ID-98.A",72,63,75,40,79,76,97
"Idaho : biomass","thousand megawatthours","ELEC.GEN.BIO-ID-98.A",93,102,153,254,216,215,213
"Idaho : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ID-98.A","--","--","--","--","--","--","--"
"Idaho : other","thousand megawatthours","ELEC.GEN.OTH-ID-98.A","--","--","--","--","--","--","--"
"Idaho : all solar",,"ELEC.GEN.TSN-ID-98.A",,,,,,,
"Idaho : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ID-98.A","--","--","--","--","--","--","--"
"Idaho : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ID-98.A","--","--","--","--","--","--",29
"Montana",,"ELEC.GEN..A",,,,,,,
"Montana : all fuels (utility-scale)",,"ELEC.GEN.ALL-MT-98.A",,,,,,,
"Montana : coal","thousand megawatthours","ELEC.GEN.COW-MT-98.A",18601,15047,13979,14870,15571,16007,14321
"Montana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MT-98.A",13,18,13,15,26,14,17
"Montana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MT-98.A",395,443,454,448,403,483,443
"Montana : natural gas","thousand megawatthours","ELEC.GEN.NG-MT-98.A",53,418,464,614,515,599,694
"Montana : other gases","thousand megawatthours","ELEC.GEN.OOG-MT-98.A",0,0,0,0,0,17,9
"Montana : nuclear","thousand megawatthours","ELEC.GEN.NUC-MT-98.A","--","--","--","--","--","--","--"
"Montana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MT-98.A",9415,12596,11283,9638,11483,9888,10183
"Montana : other renewables",,"ELEC.GEN.AOR-MT-98.A",,,,,,,
"Montana : wind","thousand megawatthours","ELEC.GEN.WND-MT-98.A",930,1265,1262,1755,1974,1965,2130
"Montana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MT-98.A","--","--","--","--","--","--","--"
"Montana : geothermal","thousand megawatthours","ELEC.GEN.GEO-MT-98.A","--","--","--","--","--","--","--"
"Montana : biomass","thousand megawatthours","ELEC.GEN.BIO-MT-98.A","--","--","--","--","--","--","--"
"Montana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MT-98.A","--","--","--","--","--","--","--"
"Montana : other","thousand megawatthours","ELEC.GEN.OTH-MT-98.A",281,333,341,332,265,303,327
"Montana : all solar",,"ELEC.GEN.TSN-MT-98.A",,,,,,,
"Montana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MT-98.A","--","--","--","--","--","--","--"
"Montana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MT-98.A","--","--","--","--","--","--","--"
"Nevada",,"ELEC.GEN..A",,,,,,,
"Nevada : all fuels (utility-scale)",,"ELEC.GEN.ALL-NV-98.A",,,,,,,
"Nevada : coal","thousand megawatthours","ELEC.GEN.COW-NV-98.A",6997,5407,4079,5255,6548,2657,2167
"Nevada : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NV-98.A",11,14,19,19,15,16,11
"Nevada : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NV-98.A","--","--","--","--","--","--","--"
"Nevada : natural gas","thousand megawatthours","ELEC.GEN.NG-NV-98.A",23427,21614,25325,24452,22659,28628,28466
"Nevada : other gases","thousand megawatthours","ELEC.GEN.OOG-NV-98.A",6,7,7,6,5,6,1
"Nevada : nuclear","thousand megawatthours","ELEC.GEN.NUC-NV-98.A","--","--","--","--","--","--","--"
"Nevada : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NV-98.A",2157,2191,2440,2682,2389,2264,1767
"Nevada : other renewables",,"ELEC.GEN.AOR-NV-98.A",,,,,,,
"Nevada : wind","thousand megawatthours","ELEC.GEN.WND-NV-98.A","--","--",129,251,300,310,344
"Nevada : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NV-98.A",215,258,438,711,980,1610,2466
"Nevada : geothermal","thousand megawatthours","ELEC.GEN.GEO-NV-98.A",2070,2146,2347,2670,2729,3111,3848
"Nevada : biomass","thousand megawatthours","ELEC.GEN.BIO-NV-98.A",0,0,19,24,25,26,26
"Nevada : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NV-98.A","--","--","--","--","--","--","--"
"Nevada : other","thousand megawatthours","ELEC.GEN.OTH-NV-98.A",0,38,12,25,15,1,"NM"
"Nevada : all solar",,"ELEC.GEN.TSN-NV-98.A",,,,,,,
"Nevada : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NV-98.A","--","--","--","--","--","--","--"
"Nevada : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NV-98.A",215,258,438,711,980,1610,2466
"New Mexico",,"ELEC.GEN..A",,,,,,,
"New Mexico : all fuels (utility-scale)",,"ELEC.GEN.ALL-NM-98.A",,,,,,,
"New Mexico : coal","thousand megawatthours","ELEC.GEN.COW-NM-98.A",25618,27141,24994,24145,20356,20440,18365
"New Mexico : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NM-98.A",49,38,46,58,63,63,50
"New Mexico : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NM-98.A","--","--","--","--","--","--","--"
"New Mexico : natural gas","thousand megawatthours","ELEC.GEN.NG-NM-98.A",8439,8447,8721,8887,8837,9242,9875
"New Mexico : other gases","thousand megawatthours","ELEC.GEN.OOG-NM-98.A","--","--","--","--","--","--","--"
"New Mexico : nuclear","thousand megawatthours","ELEC.GEN.NUC-NM-98.A","--","--","--","--","--","--","--"
"New Mexico : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NM-98.A",217,195,223,92,98,99,146
"New Mexico : other renewables",,"ELEC.GEN.AOR-NM-98.A",,,,,,,
"New Mexico : wind","thousand megawatthours","ELEC.GEN.WND-NM-98.A",1832,2101,2222,2190,2272,2087,3611
"New Mexico : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NM-98.A",9,128,334,388,515,615,804
"New Mexico : geothermal","thousand megawatthours","ELEC.GEN.GEO-NM-98.A","--","--","--",0,9,10,16
"New Mexico : biomass","thousand megawatthours","ELEC.GEN.BIO-NM-98.A",14,9,14,19,14,20,18
"New Mexico : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NM-98.A","--","--","--","--","--","--","--"
"New Mexico : other","thousand megawatthours","ELEC.GEN.OTH-NM-98.A","--","--",0,1,1,1,"NM"
"New Mexico : all solar",,"ELEC.GEN.TSN-NM-98.A",,,,,,,
"New Mexico : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NM-98.A","--","--","--","--","--","--","--"
"New Mexico : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NM-98.A",9,128,334,388,515,615,804
"Utah",,"ELEC.GEN..A",,,,,,,
"Utah : all fuels (utility-scale)",,"ELEC.GEN.ALL-UT-98.A",,,,,,,
"Utah : coal","thousand megawatthours","ELEC.GEN.COW-UT-98.A",33218,32697,30394,33795,32930,31233,25460
"Utah : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-UT-98.A",50,54,39,26,24,19,31
"Utah : petroleum coke","thousand megawatthours","ELEC.GEN.PC-UT-98.A","--","--","--","--","--","--","--"
"Utah : natural gas","thousand megawatthours","ELEC.GEN.NG-UT-98.A",6300,5084,6058,6117,7833,7704,8042
"Utah : other gases","thousand megawatthours","ELEC.GEN.OOG-UT-98.A","--","--","--","--","--","--","--"
"Utah : nuclear","thousand megawatthours","ELEC.GEN.NUC-UT-98.A","--","--","--","--","--","--","--"
"Utah : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-UT-98.A",696,1230,748,505,633,769,816
"Utah : other renewables",,"ELEC.GEN.AOR-UT-98.A",,,,,,,
"Utah : wind","thousand megawatthours","ELEC.GEN.WND-UT-98.A",448,573,704,540,660,626,827
"Utah : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-UT-98.A","--","--",2,2,2,32,874
"Utah : geothermal","thousand megawatthours","ELEC.GEN.GEO-UT-98.A",277,330,335,319,522,430,530
"Utah : biomass","thousand megawatthours","ELEC.GEN.BIO-UT-98.A",56,58,60,71,73,71,71
"Utah : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-UT-98.A","--","--","--","--","--","--","--"
"Utah : other","thousand megawatthours","ELEC.GEN.OTH-UT-98.A",4,5,5,5,4,4,"NM"
"Utah : all solar",,"ELEC.GEN.TSN-UT-98.A",,,,,,,
"Utah : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-UT-98.A","--","--","--","--","--","--","--"
"Utah : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-UT-98.A","--","--",2,2,2,32,874
"Wyoming",,"ELEC.GEN..A",,,,,,,
"Wyoming : all fuels (utility-scale)",,"ELEC.GEN.ALL-WY-98.A",,,,,,,
"Wyoming : coal","thousand megawatthours","ELEC.GEN.COW-WY-98.A",42766,40495,43001,45975,42945,42671,39481
"Wyoming : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WY-98.A",56,55,48,39,38,45,45
"Wyoming : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : natural gas","thousand megawatthours","ELEC.GEN.NG-WY-98.A",54,37,46,51,78,140,184
"Wyoming : other gases","thousand megawatthours","ELEC.GEN.OOG-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : nuclear","thousand megawatthours","ELEC.GEN.NUC-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WY-98.A",1024,1224,893,711,869,868,998
"Wyoming : other renewables",,"ELEC.GEN.AOR-WY-98.A",,,,,,,
"Wyoming : wind","thousand megawatthours","ELEC.GEN.WND-WY-98.A",3247,4612,4369,4433,4406,3757,4363
"Wyoming : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : geothermal","thousand megawatthours","ELEC.GEN.GEO-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : biomass","thousand megawatthours","ELEC.GEN.BIO-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : other","thousand megawatthours","ELEC.GEN.OTH-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : all solar",,"ELEC.GEN.TSN-WY-98.A",,,,,,,
"Wyoming : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WY-98.A","--","--","--","--","--","--","--"
"Wyoming : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WY-98.A","--","--","--","--","--","--","--"
"Pacific Contiguous",,"ELEC.GEN..A",,,,,,,
"California",,"ELEC.GEN..A",,,,,,,
"California : all fuels (utility-scale)",,"ELEC.GEN.ALL-CA-98.A",,,,,,,
"California : coal","thousand megawatthours","ELEC.GEN.COW-CA-98.A",1751,1608,1005,469,499,0,0
"California : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CA-98.A",51,43,46,39,43,59,41
"California : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CA-98.A",1006,864,156,21,19,0,0
"California : natural gas","thousand megawatthours","ELEC.GEN.NG-CA-98.A",92923,74865,105782,105188,106440,102770,84838
"California : other gases","thousand megawatthours","ELEC.GEN.OOG-CA-98.A",42,29,0,0,0,0,0
"California : nuclear","thousand megawatthours","ELEC.GEN.NUC-CA-98.A",32201,36663,18507,17912,16986,18505,18908
"California : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CA-98.A",33424,42553,26835,23749,16527,13805,28921
"California : other renewables",,"ELEC.GEN.AOR-CA-98.A",,,,,,,
"California : wind","thousand megawatthours","ELEC.GEN.WND-CA-98.A",6079,7752,9754,12819,12988,12220,13688
"California : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CA-98.A",765,861,1328,3727,9834,14711,18893
"California : geothermal","thousand megawatthours","ELEC.GEN.GEO-CA-98.A",12600,12552,12519,12307,12102,11883,12469
"California : biomass","thousand megawatthours","ELEC.GEN.BIO-CA-98.A",4935,4351,4559,4874,5276,5032,4702
"California : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CA-98.A",-171,-89,575,196,-105,113,-259
"California : other","thousand megawatthours","ELEC.GEN.OTH-CA-98.A",209,219,158,214,212,206,196
"California : all solar",,"ELEC.GEN.TSN-CA-98.A",,,,,,,
"California : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CA-98.A","--","--","--","--","--","--","--"
"California : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CA-98.A",765,861,1328,3727,9834,14711,18893
"Oregon",,"ELEC.GEN..A",,,,,,,
"Oregon : all fuels (utility-scale)",,"ELEC.GEN.ALL-OR-98.A",,,,,,,
"Oregon : coal","thousand megawatthours","ELEC.GEN.COW-OR-98.A",4126,3334,2634,3759,3193,2377,1898
"Oregon : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OR-98.A",3,7,6,6,10,6,5
"Oregon : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OR-98.A","--","--","--","--","--","--","--"
"Oregon : natural gas","thousand megawatthours","ELEC.GEN.NG-OR-98.A",15532,8373,11441,14235,12552,16130,15224
"Oregon : other gases","thousand megawatthours","ELEC.GEN.OOG-OR-98.A","--","--","--","--","--","--","--"
"Oregon : nuclear","thousand megawatthours","ELEC.GEN.NUC-OR-98.A","--","--","--","--","--","--","--"
"Oregon : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OR-98.A",30542,42315,39410,33098,35262,31254,33700
"Oregon : other renewables",,"ELEC.GEN.AOR-OR-98.A",,,,,,,
"Oregon : wind","thousand megawatthours","ELEC.GEN.WND-OR-98.A",3920,4775,6343,7456,7555,6632,7163
"Oregon : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OR-98.A","--",0,6,20,24,24,70
"Oregon : geothermal","thousand megawatthours","ELEC.GEN.GEO-OR-98.A","--","--",26,165,183,179,197
"Oregon : biomass","thousand megawatthours","ELEC.GEN.BIO-OR-98.A",354,327,337,429,497,470,469
"Oregon : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OR-98.A","--","--","--","--","--","--","--"
"Oregon : other","thousand megawatthours","ELEC.GEN.OTH-OR-98.A",38,43,42,35,43,42,47
"Oregon : all solar",,"ELEC.GEN.TSN-OR-98.A",,,,,,,
"Oregon : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-OR-98.A","--","--","--","--","--","--","--"
"Oregon : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OR-98.A","--",0,6,20,24,24,70
"Washington",,"ELEC.GEN..A",,,,,,,
"Washington : all fuels (utility-scale)",,"ELEC.GEN.ALL-WA-98.A",,,,,,,
"Washington : coal","thousand megawatthours","ELEC.GEN.COW-WA-98.A",8487,5200,3728,6704,6676,5016,4569
"Washington : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WA-98.A",19,16,14,12,14,11,12
"Washington : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WA-98.A","--","--","--","--","--","--","--"
"Washington : natural gas","thousand megawatthours","ELEC.GEN.NG-WA-98.A",10303,4787,5370,11336,10997,12969,11059
"Washington : other gases","thousand megawatthours","ELEC.GEN.OOG-WA-98.A",292,297,405,410,337,395,402
"Washington : nuclear","thousand megawatthours","ELEC.GEN.NUC-WA-98.A",9241,4806,9334,8461,9497,8161,9626
"Washington : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WA-98.A",68233,91815,89463,78155,79463,73405,76843
"Washington : other renewables",,"ELEC.GEN.AOR-WA-98.A",,,,,,,
"Washington : wind","thousand megawatthours","ELEC.GEN.WND-WA-98.A",4745,6262,6600,7004,7268,7075,8042
"Washington : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WA-98.A",0,1,1,1,1,1,1
"Washington : geothermal","thousand megawatthours","ELEC.GEN.GEO-WA-98.A","--","--","--","--","--","--","--"
"Washington : biomass","thousand megawatthours","ELEC.GEN.BIO-WA-98.A",692,600,434,557,538,589,581
"Washington : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WA-98.A",53,52,44,7,-5,40,-2
"Washington : other","thousand megawatthours","ELEC.GEN.OTH-WA-98.A",62,70,69,67,65,54,63
"Washington : all solar",,"ELEC.GEN.TSN-WA-98.A",,,,,,,
"Washington : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WA-98.A","--","--","--","--","--","--","--"
"Washington : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WA-98.A",0,1,1,1,1,1,1
"Pacific Noncontiguous",,"ELEC.GEN..A",,,,,,,
"Alaska",,"ELEC.GEN..A",,,,,,,
"Alaska : all fuels (utility-scale)",,"ELEC.GEN.ALL-AK-98.A",,,,,,,
"Alaska : coal","thousand megawatthours","ELEC.GEN.COW-AK-98.A",394,387,417,379,448,559,436
"Alaska : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AK-98.A",885,892,986,770,398,695,741
"Alaska : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AK-98.A","--","--","--","--","--","--","--"
"Alaska : natural gas","thousand megawatthours","ELEC.GEN.NG-AK-98.A",3685,3846,3566,3356,3219,3019,2247
"Alaska : other gases","thousand megawatthours","ELEC.GEN.OOG-AK-98.A","--","--","--","--","--","--","--"
"Alaska : nuclear","thousand megawatthours","ELEC.GEN.NUC-AK-98.A","--","--","--","--","--","--","--"
"Alaska : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AK-98.A",1433,1345,1575,1435,1539,1569,1549
"Alaska : other renewables",,"ELEC.GEN.AOR-AK-98.A",,,,,,,
"Alaska : wind","thousand megawatthours","ELEC.GEN.WND-AK-98.A",13,12,37,145,152,160,164
"Alaska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AK-98.A","--","--","--","--","--","--","--"
"Alaska : geothermal","thousand megawatthours","ELEC.GEN.GEO-AK-98.A","--","--","--","--","--","--","--"
"Alaska : biomass","thousand megawatthours","ELEC.GEN.BIO-AK-98.A","--","--","--",0,0,0,0
"Alaska : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AK-98.A","--","--","--","--","--","--","--"
"Alaska : other","thousand megawatthours","ELEC.GEN.OTH-AK-98.A",0,0,0,-0,-2,-2,"NM"
"Alaska : all solar",,"ELEC.GEN.TSN-AK-98.A",,,,,,,
"Alaska : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AK-98.A","--","--","--","--","--","--","--"
"Alaska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AK-98.A","--","--","--","--","--","--","--"
"Hawaii",,"ELEC.GEN..A",,,,,,,
"Hawaii : all fuels (utility-scale)",,"ELEC.GEN.ALL-HI-98.A",,,,,,,
"Hawaii : coal","thousand megawatthours","ELEC.GEN.COW-HI-98.A",1496,1377,1498,1357,1466,1303,1492
"Hawaii : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-HI-98.A",7906,7773,7307,7085,6737,6815,6182
"Hawaii : petroleum coke","thousand megawatthours","ELEC.GEN.PC-HI-98.A","--","--","--","--","--","--","--"
"Hawaii : natural gas","thousand megawatthours","ELEC.GEN.NG-HI-98.A","--",0,"--","--","--","--","--"
"Hawaii : other gases","thousand megawatthours","ELEC.GEN.OOG-HI-98.A","--","--","--","--","--","--","--"
"Hawaii : nuclear","thousand megawatthours","ELEC.GEN.NUC-HI-98.A","--","--","--","--","--","--","--"
"Hawaii : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-HI-98.A",29,45,56,34,42,63,58
"Hawaii : other renewables",,"ELEC.GEN.AOR-HI-98.A",,,,,,,
"Hawaii : wind","thousand megawatthours","ELEC.GEN.WND-HI-98.A",261,341,378,503,579,613,644
"Hawaii : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-HI-98.A",2,4,5,19,39,54,92
"Hawaii : geothermal","thousand megawatthours","ELEC.GEN.GEO-HI-98.A",201,224,261,275,254,230,260
"Hawaii : biomass","thousand megawatthours","ELEC.GEN.BIO-HI-98.A",2,39,22,29,37,52,37
"Hawaii : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-HI-98.A","--","--","--","--","--","--","--"
"Hawaii : other","thousand megawatthours","ELEC.GEN.OTH-HI-98.A",227,211,216,219,218,187,12
"Hawaii : all solar",,"ELEC.GEN.TSN-HI-98.A",,,,,,,
"Hawaii : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-HI-98.A","--","--","--","--","--","--","--"
"Hawaii : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-HI-98.A",2,4,5,19,39,54,92 
