"Net generation for commercial non-cogen"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=1&linechart=ELEC.GEN.COW-CT-4.A&columnchart=ELEC.GEN.COW-CT-4.A&map=ELEC.GEN.COW-CT-4.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:49:19 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"New York : other gases","thousand megawatthours","ELEC.GEN.OOG-NY-4.A","--","--","--","--","--","--","--"
"New York : nuclear","thousand megawatthours","ELEC.GEN.NUC-NY-4.A","--","--","--","--","--","--","--"
"New York : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NY-4.A",3,6,4,6,3,5,"NM"
"New York : other renewables",,"ELEC.GEN.AOR-NY-4.A",,,,,,,
"New York : wind","thousand megawatthours","ELEC.GEN.WND-NY-4.A","--","--","--","--","--","--","--"
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-4.A","--","--","--","--",0,3,4
"New York : geothermal","thousand megawatthours","ELEC.GEN.GEO-NY-4.A","--","--","--","--","--","--","--"
"New York : biomass","thousand megawatthours","ELEC.GEN.BIO-NY-4.A",106,105,214,206,185,186,180
"New York : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NY-4.A","--","--","--","--","--","--","--"
"New York : other","thousand megawatthours","ELEC.GEN.OTH-NY-4.A",84,101,205,189,170,173,181
"New York : all solar",,"ELEC.GEN.TSN-NY-4.A",,,,,,,
"New York : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NY-4.A","--","--","--","--","--","--","--"
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-4.A","--","--","--","--",0,3,4
"Pennsylvania",,"ELEC.GEN..A",,,,,,,
"Pennsylvania : all fuels (utility-scale)",,"ELEC.GEN.ALL-PA-4.A",,,,,,,
"Pennsylvania : coal","thousand megawatthours","ELEC.GEN.COW-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-PA-4.A",2,1,1,1,1,1,1
"Pennsylvania : petroleum coke","thousand megawatthours","ELEC.GEN.PC-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : natural gas","thousand megawatthours","ELEC.GEN.NG-PA-4.A","--","--","--",1,13,6,"NM"
"Pennsylvania : other gases","thousand megawatthours","ELEC.GEN.OOG-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : nuclear","thousand megawatthours","ELEC.GEN.NUC-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : other renewables",,"ELEC.GEN.AOR-PA-4.A",,,,,,,
"Pennsylvania : wind","thousand megawatthours","ELEC.GEN.WND-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-4.A",0,0,0,0,4,3,5
"Pennsylvania : geothermal","thousand megawatthours","ELEC.GEN.GEO-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : biomass","thousand megawatthours","ELEC.GEN.BIO-PA-4.A",110,120,130,119,156,159,93
"Pennsylvania : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : other","thousand megawatthours","ELEC.GEN.OTH-PA-4.A",87,100,107,103,99,102,41
"Pennsylvania : all solar",,"ELEC.GEN.TSN-PA-4.A",,,,,,,
"Pennsylvania : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-PA-4.A","--","--","--","--","--","--","--"
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-4.A",0,0,0,0,4,3,5
"East North Central",,"ELEC.GEN..A",,,,,,,
"Illinois",,"ELEC.GEN..A",,,,,,,
"Illinois : all fuels (utility-scale)",,"ELEC.GEN.ALL-IL-4.A",,,,,,,
"Illinois : coal","thousand megawatthours","ELEC.GEN.COW-IL-4.A","--","--",4,0,"--","--","--"
"Illinois : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IL-4.A","--","--","--",0,0,0,"NM"
"Illinois : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IL-4.A","--","--","--","--","--","--","--"
"Illinois : natural gas","thousand megawatthours","ELEC.GEN.NG-IL-4.A",1,1,26,49,75,1,"NM"
"Illinois : other gases","thousand megawatthours","ELEC.GEN.OOG-IL-4.A","--","--","--","--","--","--","--"
"Illinois : nuclear","thousand megawatthours","ELEC.GEN.NUC-IL-4.A","--","--","--","--","--","--","--"
"Illinois : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IL-4.A","--","--",2,2,3,2,"NM"
"Illinois : other renewables",,"ELEC.GEN.AOR-IL-4.A",,,,,,,
"Illinois : wind","thousand megawatthours","ELEC.GEN.WND-IL-4.A","--","--","--","--",4,5,"NM"
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-4.A","--","--","--","--","--","--","--"
"Illinois : geothermal","thousand megawatthours","ELEC.GEN.GEO-IL-4.A","--","--","--","--","--","--","--"
"Illinois : biomass","thousand megawatthours","ELEC.GEN.BIO-IL-4.A","--","--","--","--","--","--","--"
"Illinois : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IL-4.A","--","--","--","--","--","--","--"
"Illinois : other","thousand megawatthours","ELEC.GEN.OTH-IL-4.A","--","--","--","--","--","--","--"
"Illinois : all solar",,"ELEC.GEN.TSN-IL-4.A",,,,,,,
"Illinois : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IL-4.A","--","--","--","--","--","--","--"
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-4.A","--","--","--","--","--","--","--"
"Indiana",,"ELEC.GEN..A",,,,,,,
"Indiana : all fuels (utility-scale)",,"ELEC.GEN.ALL-IN-4.A",,,,,,,
"Indiana : coal","thousand megawatthours","ELEC.GEN.COW-IN-4.A","--","--","--","--","--","--","--"
"Indiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IN-4.A",0,0,0,0,0,0,"NM"
"Indiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IN-4.A","--","--","--","--","--","--","--"
"Indiana : natural gas","thousand megawatthours","ELEC.GEN.NG-IN-4.A",0,0,0,0,0,0,0
"Indiana : other gases","thousand megawatthours","ELEC.GEN.OOG-IN-4.A","--","--","--","--","--","--","--"
"Indiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-IN-4.A","--","--","--","--","--","--","--"
"Indiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IN-4.A","--","--","--","--","--","--","--"
"Indiana : other renewables",,"ELEC.GEN.AOR-IN-4.A",,,,,,,
"Indiana : wind","thousand megawatthours","ELEC.GEN.WND-IN-4.A","NM",1,1,1,1,1,"NM"
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-4.A","--","--","--","--","--","--","--"
"Indiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-IN-4.A","--","--","--","--","--","--","--"
"Indiana : biomass","thousand megawatthours","ELEC.GEN.BIO-IN-4.A","--","--","--","--","--","--","--"
"Indiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IN-4.A","--","--","--","--","--","--","--"
"Indiana : other","thousand megawatthours","ELEC.GEN.OTH-IN-4.A","--","--","--","--","--","--","--"
"Indiana : all solar",,"ELEC.GEN.TSN-IN-4.A",,,,,,,
"Indiana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IN-4.A","--","--","--","--","--","--","--"
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-4.A","--","--","--","--","--","--","--"
"Michigan",,"ELEC.GEN..A",,,,,,,
"Michigan : all fuels (utility-scale)",,"ELEC.GEN.ALL-MI-4.A",,,,,,,
"Michigan : coal","thousand megawatthours","ELEC.GEN.COW-MI-4.A","--","--","--","--","--","--","--"
"Michigan : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MI-4.A",0,0,0,0,0,0,"NM"
"Michigan : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MI-4.A","--","--","--","--","--","--","--"
"Michigan : natural gas","thousand megawatthours","ELEC.GEN.NG-MI-4.A",0,0,1,1,1,1,7
"Michigan : other gases","thousand megawatthours","ELEC.GEN.OOG-MI-4.A","--","--","--","--","--","--","--"
"Michigan : nuclear","thousand megawatthours","ELEC.GEN.NUC-MI-4.A","--","--","--","--","--","--","--"
"Michigan : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MI-4.A","--","--","--","--","--","--","--"
"Michigan : other renewables",,"ELEC.GEN.AOR-MI-4.A",,,,,,,
"Michigan : wind","thousand megawatthours","ELEC.GEN.WND-MI-4.A","--","--","--","--","--","--","--"
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-4.A","--","--","--","--","--","--","--"
"Michigan : geothermal","thousand megawatthours","ELEC.GEN.GEO-MI-4.A","--","--","--","--","--","--","--"
"Michigan : biomass","thousand megawatthours","ELEC.GEN.BIO-MI-4.A",59,52,49,53,51,51,49
"Michigan : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MI-4.A","--","--","--","--","--","--","--"
"Michigan : other","thousand megawatthours","ELEC.GEN.OTH-MI-4.A",46,50,47,51,49,49,51
"Michigan : all solar",,"ELEC.GEN.TSN-MI-4.A",,,,,,,
"Michigan : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MI-4.A","--","--","--","--","--","--","--"
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-4.A","--","--","--","--","--","--","--"
"Ohio",,"ELEC.GEN..A",,,,,,,
