# File: FAO_ag_items_PRODSTAT.csv
# Title: FAO_ag_items_PRODSTAT
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases
# Sources: FAO and other databases
# Column types: ciccccicccccccccccc
# ----------
item,item.code,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix,Vish_crop
"Groundnuts, with shell",242,GrndntWShll,NutsSeeds,NutsSeeds,GROU,24,Groundnut,OtherOilSeeds,Ground nuts,Crop16,,Groundnut,Groundnut,,osd,Nfix,,Other Oil Seeds
Gums Natural,839,NaturalGums,,,,,,,Others (perennial) ,Crop24,,,,,,,,Other Crops
"Hazelnuts, with shell",225,HzlntFlbrt,NutsSeeds,NutsSeedsTree,,,Hazelnut,Other,Others (perennial) ,Crop24,Hazelnuts_withshell,,Nuts,,v_f,,Tree,Other Crops
Hemp tow waste,777,HempFibr_Tow,FiberCrop,FiberCrop,FIBR,33,,Other,Others (annual),Crop26,HempTowWaste,,,,pfb,,,Other Crops
Hempseed,336,Hempseed,OilCrop,OilCrop,OILC,20,,Other,Others (annual),Crop26,Hempseed,,Oilcrops other,,osd,,,Other Oil Seeds
Hops,677,Hops,MiscCrop,MiscCrop,,,Hop,Other,Others (perennial) ,Crop24,Hops,,,,ocr,,,Other Crops
Jojoba seed,277,,OilCrop,OilCrop,,,,,,,,,,,osd,,,Other Oil Seeds
Jute,780,Jute,FiberCrop,FiberCrop,FIBR,33,Jute,Other,Others (annual),Crop26,Jute,,,,pfb,,,Other Crops
Kapok fibre,778,,FiberCrop,FiberCrop,,,,,,,,,,,,,,Other Crops
Kapok fruit,310,KapksdShell,OilCrop,OilCropTree,,,,,Others (perennial) ,Crop24,,,,,osd,,Tree,Other Oil Seeds
Kapokseed in shell,311,,OilCrop,OilCropTree,,,,,,,,,,,,,Tree,Other Oil Seeds
Karite nuts (sheanuts),263,KrtNtSheant,OilCrop,OilCropTree,OILC,20,,Other,Others (perennial) ,Crop24,,,Nuts,,osd,,Tree,Other Oil Seeds
Kiwi fruit,592,KiwiFruit,Fruits,FruitsTree,FRUI,19,Kiwi,FruitsAndVeg,Others (perennial) ,Crop24,Kiwifruit,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Kola nuts,224,Kolanuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Kolanuts,,Nuts,,v_f,,Tree,Other Crops
"Leeks, other alliaceous vegetables",407,,Vegetables,Vegetables,VEGE,16,Onion,FruitsAndVeg,,,,,Vegetables other,,v_f,,,Fruits and Vegetable
Leguminous for Silage,643,LgmNESFrgSlg,FodderHerb,FodderHerb,,,Fodder (legumes),Other,Others (annual),Crop26,,,Peas,"Peas, green",ocr,,,Other Crops
Lemons and limes,497,Lmn_Lme,Fruits,FruitsTree,CITR,18,Lemon,FruitsAndVeg,Citrus,Crop18,,,"Lemons, Limes",,v_f,,Tree,Fruits and Vegetable
Lentils,201,Lentils,Legumes,Legumes,PULS,15,Lentil,Other,Pulses,Crop17,,,Beans,,,Nfix,,Other Crops
Lettuce and chicory,372,Lettuce,Vegetables,Vegetables,VEGE,16,Lettuce,FruitsAndVeg,Others (annual),Crop26,Lettuceandchicory,,Vegetables other,,v_f,,,Fruits and Vegetable
Linseed,333,Linseed,OilCrop,OilCrop,OILC,20,Linseed,OtherOilSeeds,Others (annual),Crop26,Linseed,,Oilcrops other,,osd,,,Other Oil Seeds
Lupins,210,Lupins,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Beans,,ocr,Nfix,,Other Crops
Maize,56,Maize,Corn,CornC4,MAIZ,3,Maize,Maize,Maize,Crop2,,Maize,Maize,,gro,,C4,Maize
Maize for forage and silage,636,Maize4FrgSlg,FodderHerb,FodderHerbC4,MAIZ,3,Fodder (other),Other,Maize,Crop2,,,Maize,Maize,ocr,,C4,Maize
"Maize, green",446,GrnCornMaize,Corn,CornC4,MAIZ,3,"Maize, green",Maize,Others (annual),Crop26,Maize_green,,,,gro,,C4,Fruits and Vegetable
"Mangoes, mangosteens, guavas",571,Mangoes,Fruits,FruitsTree,FRUI,19,Mango,FruitsAndVeg,Others (perennial) ,Crop24,Mangoes_mangosteens_guavas,,Fruits other,,v_f,,Tree,Fruits and Vegetable
Manila fibre (abaca),809,Abaca_M_H,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,ManilaFibre.Abaca.,,,,pfb,,,Other Crops
Mate,671,Mate,MiscCrop,MiscCropTree,TEAS,30,,Other,Others (perennial) ,Crop24,,,,Tea,ocr,,Tree,Other Crops
"Melons, other (inc.cantaloupes)",568,Cntlp_othMln,Fruits,Fruits,FRUI,19,Cantaloupe,FruitsAndVeg,Others (annual),Crop26,Othermelons.inc.cantaloupes.,,Fruits other,,v_f,,,Fruits and Vegetable
Melonseed,299,Melonseed,OilCrop,OilCrop,OILC,20,,Other,Others (annual),Crop26,Melonseed,,Oilcrops other,,osd,,,Other Oil Seeds
