# File: GCAMFAOSTAT_PFertilizer.csv
# Title: FAO phosphate fertilizer production and consumption by country_year
# Units: tonnes P2O5
# Description:  Queried data are preprocessed for consistency with outputs of gcamfaostat
# Data source: FAOSTAT
# Date of CSV last update: 2026-07-23
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,Burundi,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,68,158,168,170,235,243,39,112,341,300,100,400,500,520,619,513,1700,1400,900,2400,1000,1000,3037,2367,2000,2000,1800,0,1221,1367,1000,1000,799,0,624,2256,639,685,372,623,1333,2677,2495,6799,4512,3882,4939,6541,9689,13649,13649,13649,40893
29,Burundi,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cameroon,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,3831,1000,995,2304,2428,3300,2171,7000,6900,5508,5951,7715,5200,6000,9000,9600,11700,14300,6200,4400,3000,2800,4000,5400,5000,5000,5000,7022,7638,10025,7656,9938,9830,11713,13105,6177,11364,6898,6821,4509,10725,8684,12593,10135,11821,12683,12895,9930,17305,15098,18205,13096,14878
32,Cameroon,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Canada,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,326000,339000,415292,494200,501800,502700,502700,593600,630000,627700,635100,636300,651700,714000,733800,703400,626100,634500,614369,609150,578198,592300,615900,636800,628500,658400,703500,717000,666600,667884,570532,613796,656295,685815,610336,693121,615799,743994,671423,561811,650749,822189,768247,857000,942000,1004000,971000,1023000,1130000,1131000,1194000,1094000,1021000
33,Canada,3103,Nutrient phosphate P2O5 (total),5510,Production,t,560000,721000,738419,696321,660920,610000,631800,650900,659600,702600,724000,658000,641100,687900,635500,630300,465200,436400,463900,440012,354042,463200,395471,446600,355000,381000,383000,372570,357800,273000,239720,317720,328000,292000,352000,294900,220000,245000,268800,278600,280300,322800,261800,285900,303600,290000,310900,241700,270000,135200,0,0,0
35,Cabo Verde,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,0,17,20,20,0,0,0,14,0,0,0,0,13,30,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,19,18,39,39,23,33,25,42,30,22,14,27,17,23,11,18,31,24,19
35,Cabo Verde,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Central African Republic,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,756,600,483,400,450,600,200,200,100,0,27,28,0,63,0,200,27,21,21,38,40,0,100,100,100,100,100,100,200,200,200,200,0,0,24,0,97,194,83,81,210,248,62,31,0,29,80,68,27,26,29,29,0
37,Central African Republic,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
