Scenario,State,State_FIPS,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP3,Delaware,10000,849343,902324,928376,934893,923770,902774,874065,834154,783975,727713
SSP3,District of Columbia,11000,622249,672252,704678,722727,726511,720494,706097,680615,644952,602705
SSP3,Florida,12000,17310787,18457056,19103696,19372210,19286064,18974004,18473269,17711138,16709304,15558762
SSP3,Georgia,13000,9045515,9524997,9698966,9664771,9452232,9154469,8796252,8341160,7797872,7206433
SSP3,Hawaii,15000,1288881,1362081,1398634,1408606,1394392,1365400,1324228,1265531,1190762,1106382
SSP3,Idaho,16000,1416732,1484614,1505953,1493581,1453995,1403024,1343799,1271521,1184602,1093540
SSP3,Illinois,17000,13703455,14600282,15086043,15265043,15159752,14881659,14462405,13844820,13045441,12134797
SSP3,Indiana,18000,6708177,7072947,7213200,7199108,7051832,6839415,6579656,6245597,5843727,5404253
SSP3,Iowa,19000,3206529,3343733,3366229,3315849,3205808,3073400,2927315,2755205,2559650,2352867
SSP3,Kansas,20000,2946723,3097772,3147875,3127145,3050073,2946367,2825196,2674234,2496424,2304195
SSP3,Kentucky,21000,4432691,4612976,4632415,4549944,4386583,4194301,3985891,3744204,3472539,3187712
SSP3,Louisiana,22000,4897557,5146236,5235328,5216389,5104813,4947750,4757052,4513438,4221295,3902542
SSP3,Maine,23000,1370651,1412107,1402475,1361952,1298525,1229161,1157740,1079215,994088,907306
SSP3,Maryland,24000,5818698,6216630,6437897,6525776,6489028,6376368,6201869,5941062,5601225,5212667
SSP3,Massachusetts,25000,6942923,7436689,7729282,7866069,7854170,7745774,7556375,7256497,6855316,6390309
SSP3,Michigan,26000,10914235,11524549,11781031,11790408,11584545,11265907,10862356,10329771,9679708,8962331
SSP3,Minnesota,27000,5397245,5674312,5777636,5761184,5643549,5474091,5267105,5000284,4678951,4327050
SSP3,Mississippi,28000,3110044,3215378,3204473,3122727,2987164,2835738,2677939,2501970,2309657,2111728
SSP3,Missouri,29000,6185415,6512549,6629210,6603904,6456096,6250878,6004556,5692610,5320806,4916577
SSP3,Montana,30000,971748,1002281,1000218,972609,930668,881582,832999,778736,716165,655174
SSP3,Nebraska,31000,1886728,1982919,2016038,2002726,1953884,1888099,1810645,1714350,1599865,1476977
SSP3,Nevada,32000,2202053,2349140,2430003,2460069,2443157,2397323,2330015,2231628,2100115,1953939
