"# 2016 Form EIA-860 Data - Schedule 3, 'Generator Data' (Retired & Canceled Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://www.eia.gov/electricity/data/eia860/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PVM,Solar Photovoltaic,PV,,S,X,X,,,0.4, ,0.4,0.4, ,N, , ,RE,X,4,1988,7,2015,N,Electric Utility,1,X,SUN,,,,,,,,,,N,, ,,,,,,,,,,,
803,Arizona Public Service Co,117,West Phoenix,AZ,Maricopa,4,Natural Gas Steam Turbine,ST,,S,X,X,,,34.5,0.85,33.3,33.3, ,, , ,RE,X,7,1948,12,2002,Y,Electric Utility,1,,NG,DFO,,,,,,,,,,N, ,,,,,,,,,,,
803,Arizona Public Service Co,117,West Phoenix,AZ,Maricopa,5,Natural Gas Steam Turbine,ST,,S,X,X,,,16,0.85,12,12, ,, , ,RE,X,6,1949,12,2002,N,Electric Utility,1,X,NG,DFO,,,,,,,,,,N, ,,,,,,,,,,,
803,Arizona Public Service Co,117,West Phoenix,AZ,Maricopa,6,Natural Gas Steam Turbine,ST,,S,X,X,,,69,0.85,63,63, ,, , ,RE,X,4,1950,12,2002,N,Electric Utility,1,X,NG,DFO,,,,,,,,,,N, ,,,,,,,,,,,
803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,1,Natural Gas Steam Turbine,ST,,S,X,X,,,125,0.85,110,110, ,N, , ,RE,X,7,1954,7,2013,N,Electric Utility,1,X,NG,RFO,DFO,,,,NG,,,,N,, ,12H,,,,,,,,,N,Y
803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,2,Natural Gas Steam Turbine,ST,,S,X,X,,,125,0.85,100,100, ,N, , ,RE,X,6,1955,7,2013,N,Electric Utility,1,X,NG,RFO,DFO,,,,NG,,,,N,, ,12H,,,,,,,,,N,Y
803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,PV1,Solar Thermal without Energy Storage,OT,,S,X,X,,,1, ,1,1, ,N, , ,RE,X,12,2005,4,2013,N,Electric Utility,1,X,SUN,,,,,,,,,,N,, ,,,,,,,,,,,
21554,Seminole Electric Cooperative Inc,136,Seminole (FL),FL,Putnam,3,Conventional Steam Coal,ST,,S,X,X,,,850, ,750,750, ,, , ,IP,X, , , , ,N,Electric Utility,1,X,BIT,,,,,,,,,,N,N, ,,,Y,,,,,,,,
16572,Salt River Project,143,Crosscut,AZ,Maricopa,CC1,Natural Gas Steam Turbine,ST,,S,X,X,,,7.5,0.8,7.5,7.5,0.1,N, , ,RE,X,1,1942,10,1974,N,Electric Utility,1,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,,,N,N
16572,Salt River Project,143,Crosscut,AZ,Maricopa,CC2,Natural Gas Steam Turbine,ST,,S,X,X,,,7.5,0.8,7.5,7.5,0.1,N, , ,RE,X,1,1942,10,1974,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,10M,,,,,,,,,,
