Region,Technology,Fuel,2005Vintage,PHEV,Emission,2005,2010
R4,TLPDSL10,DSL,no,no,BC,0,0.21
R4,TLPETHX10,ETH,no,no,BC,0,0
R4,TLSSCONV10,GSL,no,no,BC,0,0.03
R4,TLSSDSL10,DSL,no,no,BC,0,0
R4,TLSSHEV10,Other,no,no,BC,0,0.002
R4,TMCNGC,CNG,no,no,BC,0,0
R4,TMCNGC10,CNG,no,no,BC,0,0
R4,TMCNGE,CNG,yes,no,BC,0,0
R4,TMDSLC,DSL,no,no,BC,0,0
R4,TMDSLC10,DSL,no,no,BC,0,0.182
R4,TMDSLE,DSL,yes,no,BC,0.815,0.394
R4,TMGSLC,GSL,no,no,BC,0,0
R4,TMGSLC10,GSL,no,no,BC,0,0.003
R4,TMGSLE,GSL,yes,no,BC,0.01,0.005
R4,TMLPGC,Other,no,no,BC,0,0
R4,TMLPGC10,Other,no,no,BC,0,0
R4,TMLPGE,Other,yes,no,BC,0,0
R5,TBCNGC,CNG,no,no,BC,0,0
R5,TBCNGE,CNG,yes,no,BC,0.001,0
R5,TBDSLC,DSL,no,no,BC,0,0
R5,TBDSLC10,DSL,no,no,BC,0,0.08
R5,TBDSLE,DSL,yes,no,BC,0.494,0.238
R5,TBGSLE,GSL,yes,no,BC,0.001,0
R5,TCDSLC,DSL,no,no,BC,0,0
R5,TCDSLC10,DSL,no,no,BC,0,0.019
R5,TCDSLE,DSL,yes,no,BC,1.621,0.834
R5,TCE85C,E85,no,no,BC,0,0
R5,TCGSLC,GSL,no,no,BC,0,0
R5,TCGSLC10,GSL,no,no,BC,0,0.006
R5,TCGSLE,GSL,yes,no,BC,0.056,0.028
R5,THLB20C,B20,no,no,BC,0,0
R5,THLDSLC,DSL,no,no,BC,0,0
R5,THLDSLC10,DSL,no,no,BC,0,0.815
R5,THLDSLE,DSL,yes,no,BC,5.437,2.706
R5,THSCNGC10,CNG,no,no,BC,0,0
R5,THSCNGE,CNG,yes,no,BC,0,0
R5,THSDSLC,DSL,no,no,BC,0,0
R5,THSDSLC10,DSL,no,no,BC,0,0.74
R5,THSDSLE,DSL,yes,no,BC,7.157,3.33
R5,THSGSLE,GSL,yes,no,BC,0.001,0
R5,THSLPGE,Other,yes,no,BC,0,0
R5,TLCCNG10,CNG,no,no,BC,0,0
R5,TLCCONV10,GSL,no,no,BC,0,0.079
R5,TLCDSL10,DSL,no,no,BC,0,0
R5,TLCHEV10,Other,no,no,BC,0,0.01
R5,TLECGSL,GSL,yes,no,BC,0.977,0.423
R5,TLECNGX,CNG,yes,no,BC,0.004,0.002
R5,TLEELC,Other,yes,no,BC,0,0
R5,TLEETHX,ETH,yes,no,BC,0.011,0.004
R5,TLEFDSL,DSL,yes,no,BC,0.006,0.003
R5,TLEFGSL,GSL,yes,no,BC,0.781,0.338
R5,TLELPGX,Other,yes,no,BC,0.012,0.005
R5,TLELSGSL,GSL,yes,no,BC,0.195,0.093
R5,TLEMCGSL,GSL,yes,no,BC,0.058,0.025
R5,TLEMGSL,GSL,yes,no,BC,0.334,0.159
R5,TLEPDSL,DSL,yes,no,BC,0.268,0.146
R5,TLEPGSL,GSL,yes,no,BC,0.582,0.277
R5,TLESSGSL,GSL,yes,no,BC,0.229,0.109
R5,TLFCONV10,GSL,no,no,BC,0,0.13
R5,TLFDSL10,DSL,no,no,BC,0,0.002
R5,TLLSCONV10,GSL,no,no,BC,0,0.089
R5,TLMCCONV10,GSL,no,no,BC,0,0.008
R5,TLMCONV10,GSL,no,no,BC,0,0.035
R5,TLMP20G10,Other,no,20-mi,BC,0,0
R5,TLPCNG10,CNG,no,no,BC,0,0
R5,TLPCONV10,GSL,no,no,BC,0,0.061
R5,TLPDSL10,DSL,no,no,BC,0,0.634
R5,TLSSCONV10,GSL,no,no,BC,0,0.102
R5,TLSSDSL10,DSL,no,no,BC,0,0
R5,TLSSHEV10,Other,no,no,BC,0,0.006
R5,TMCNGC,CNG,no,no,BC,0,0
R5,TMCNGC10,CNG,no,no,BC,0,0.001
R5,TMCNGE,CNG,yes,no,BC,0,0
R5,TMDSLC,DSL,no,no,BC,0,0
R5,TMDSLC10,DSL,no,no,BC,0,0.423
R5,TMDSLE,DSL,yes,no,BC,1.888,0.911
R5,TMGSLC,GSL,no,no,BC,0,0
R5,TMGSLC10,GSL,no,no,BC,0,0.006
R5,TMGSLE,GSL,yes,no,BC,0.023,0.012
R5,TMLPGC,Other,no,no,BC,0,0
R5,TMLPGC10,Other,no,no,BC,0,0
R5,TMLPGE,Other,yes,no,BC,0,0
R6,TBCNGC,CNG,no,no,BC,0,0
R6,TBCNGE,CNG,yes,no,BC,0,0
R6,TBDSLC,DSL,no,no,BC,0,0
R6,TBDSLC10,DSL,no,no,BC,0,0.027
R6,TBDSLE,DSL,yes,no,BC,0.165,0.079
R6,TBGSLE,GSL,yes,no,BC,0,0
R6,TCDSLC,DSL,no,no,BC,0,0
R6,TCDSLE,DSL,yes,no,BC,0.69,0.355
R6,TCE85C,E85,no,no,BC,0,0
R6,TCGSLC,GSL,no,no,BC,0,0
R6,TCGSLC10,GSL,no,no,BC,0,0.003
R6,TCGSLE,GSL,yes,no,BC,0.021,0.011
R6,THLB20C,B20,no,no,BC,0,0
R6,THLDSLC,DSL,no,no,BC,0,0
R6,THLDSLC10,DSL,no,no,BC,0,0.815
R6,THLDSLE,DSL,yes,no,BC,5.434,2.705
R6,THLLPGE,Other,yes,no,BC,0.002,0.001
R6,THSDSLC,DSL,no,no,BC,0,0
R6,THSDSLC10,DSL,no,no,BC,0,0.388
R6,THSDSLE,DSL,yes,no,BC,3.665,1.705
R6,THSGSLE,GSL,yes,no,BC,0.001,0
R6,THSLPGE,Other,yes,no,BC,0,0
R6,TLCCNG10,CNG,no,no,BC,0,0
R6,TLCCONV10,GSL,no,no,BC,0,0.019
R6,TLCDSL10,DSL,no,no,BC,0,0
R6,TLCHEV10,Other,no,no,BC,0,0.002
R6,TLECGSL,GSL,yes,no,BC,0.293,0.127
R6,TLECNGX,CNG,yes,no,BC,0,0
R6,TLEELC,Other,yes,no,BC,0,0
R6,TLEETHX,ETH,yes,no,BC,0.002,0.001
R6,TLEFDSL,DSL,yes,no,BC,0.002,0.001
R6,TLEFGSL,GSL,yes,no,BC,0.234,0.102
R6,TLELPGX,Other,yes,no,BC,0.007,0.003
R6,TLELSGSL,GSL,yes,no,BC,0.044,0.021
R6,TLEMCGSL,GSL,yes,no,BC,0.017,0.008
R6,TLEMGSL,GSL,yes,no,BC,0.074,0.035
R6,TLEPDSL,DSL,yes,no,BC,0.105,0.057
R6,TLEPGSL,GSL,yes,no,BC,0.229,0.109
R6,TLESSGSL,GSL,yes,no,BC,0.052,0.025
R6,TLFCONV10,GSL,no,no,BC,0,0.032
R6,TLFDSL10,DSL,no,no,BC,0,0
R6,TLLSCONV10,GSL,no,no,BC,0,0.022
R6,TLMCCONV10,GSL,no,no,BC,0,0.002
R6,TLMCONV10,GSL,no,no,BC,0,0.009
R6,TLMP20G10,Other,no,20-mi,BC,0,0
R6,TLPCNG10,CNG,no,no,BC,0,0
R6,TLPCONV10,GSL,no,no,BC,0,0.015
R6,TLPDSL10,DSL,no,no,BC,0,0.167
R6,TLPETHX10,ETH,no,no,BC,0,0
R6,TLSSCONV10,GSL,no,no,BC,0,0.025
R6,TLSSDSL10,DSL,no,no,BC,0,0
R6,TLSSHEV10,Other,no,no,BC,0,0.001
R6,TMCNGC,CNG,no,no,BC,0,0
R6,TMCNGC10,CNG,no,no,BC,0,0
R6,TMCNGE,CNG,yes,no,BC,0,0
R6,TMDSLC,DSL,no,no,BC,0,0
