Region,Demand,Description,Units,MARKAL Tech,Class,Electrification,Fuel,Vintage,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
3,TL,Light duty vehicles,bn-vmt,TLMETHX10,Minivan,,E85,2010,0,0,0,5.5,9.01,9.01,14.91,14.7,14.66,20.07,14.17
3,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,1.26,1.26,1.26,1.26,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLPCNG10,Pickup,,CNG,2010,0,0.09,0.09,0.09,0.09,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,11.13,27.6,27.6,27.6,16.47,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,4.24,4.24,4.24,4.24,0,0,0,0,0,0
3,TL,Light duty vehicles,bn-vmt,TLPETHX10,Pickup,,E85,2010,0,0,0,15.53,25.43,41.14,57.72,57.06,56.92,56.39,56.09
3,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,19.14,37.37,37.49,44.88,43.85,44.65,44.53,48.21,47.22,46.57
3,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,4.59,8.98,11.86,16.53,16.96,17.16,17.36,17.55,17.75
3,TL,Light duty vehicles,bn-vmt,TLSSETHX10,Small SUV,,E85,2010,0,0,0,18.15,22.29,22.29,22.29,21.11,16.96,16.96,16.96
3,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,1.15,1.15,1.15,1.15,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.03,0.03,0.03,0.03,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,10.59,23.9,38.83,45.17,51.66,56.96,59.4,64.39,66.81,68.98
4,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.4,0.78,1.03,1.45,1.5,1.53,1.56,1.59,1.62
4,TL,Light duty vehicles,bn-vmt,TLCELC,Compact car,Electric,ELC,Future,0,0,0,0,3.81,3.81,3.81,3.81,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLCETHX10,Compact car,,E85,2010,0,0,0,0,0,0,0,0,0.82,0.82,0.82
4,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,67.99,47.59,27.88,10.88,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.03,0.02,0.01,0.01,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.01,0.01,0,0,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,1.53,1.07,0.63,0.24,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,0.91,0.64,0.37,0.15,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,54.33,38.03,22.28,8.69,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,0.45,0.32,0.19,0.07,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,8.83,6.2,3.63,1.42,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,4.03,2.82,1.65,0.64,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,19.26,13.49,7.9,3.08,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,0.64,0.45,0.26,0.1,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,38.27,26.79,15.69,6.12,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,10.4,7.28,4.26,1.66,0,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,14.18,30.84,46.51,57.16,60.92,63.7,66.07,67.99,70.14,72.13
4,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.37,0.37,0.37,0.37,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,1.21,1.21,1.21,1.21,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,7.18,14.6,20.64,24.55,23.62,22.77,22.63,18.73,18.67,18.7
4,TL,Light duty vehicles,bn-vmt,TLLSETHX10,Large SUV,,E85,2010,0,0.75,0.75,0.75,0.75,0,0,0,3.99,3.99,3.99
4,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,0.94,1.69,2.15,2.47,2.05,1.88,1.95,2.01,2.09,2.16
4,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,3.15,3.15,5.65,7.27,6.71,9.45,9.42,7.8,7.78,7.8
4,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,2.4,2.4,2.4,2.4,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLMETHX10,Minivan,,E85,2010,0,0,0,0,0,0,0,0,1.67,1.67,1.67
4,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,0.6,0.6,0.6,0.6,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLPCNG10,Pickup,,CNG,2010,0,0.04,0.04,0.04,0.04,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,5.26,12.88,19.92,24.48,26.55,26.62,19.58,15.02,14.94,12.74
4,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,2.02,2.02,2.02,2.02,0,0,0,0,0,0
4,TL,Light duty vehicles,bn-vmt,TLPETHX10,Pickup,,E85,2010,0,0,0,0,0,0,0,6.92,11.6,11.6,13.84
4,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,9.08,17.44,25.61,30.86,30.11,30.45,30.05,30.03,29.75,29.63
4,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,2.18,4.28,5.67,7.97,8.24,8.4,8.57,8.73,8.89
4,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0
