INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechRESSecondaryOutput,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio,pMult,new.vintage.only
IA,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
IA,electricity,solar,PV,1975,ELEC_RPS,1,1,1
IA,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
IA,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
IA,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
IA,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
ID,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
ID,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
ID,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
ID,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
ID,electricity,wind,wind,1975,ELEC_RPS,1,1,1
ID,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
ID,electricity,solar,PV,1975,ELEC_RPS,1,1,1
ID,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
ID,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
ID,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
ID,electricity,geothermal,geothermal,1975,ELEC_RPS,1,1,1
ID,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
IL,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
IL,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
IL,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
IL,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
IL,electricity,wind,wind,1975,ELEC_RPS,1,1,1
IL,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
IL,electricity,solar,PV,1975,ELEC_RPS,1,1,1
IL,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
IL,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
IL,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
IL,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
IN,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
IN,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
IN,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
IN,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
IN,electricity,wind,wind,1975,ELEC_RPS,1,1,1
IN,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
IN,electricity,solar,PV,1975,ELEC_RPS,1,1,1
IN,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
IN,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
IN,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
IN,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
KS,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
KS,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
KS,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
KS,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
KS,electricity,wind,wind,1975,ELEC_RPS,1,1,1
KS,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
KS,electricity,solar,PV,1975,ELEC_RPS,1,1,1
KS,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
KS,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
KS,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
KS,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
KY,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
KY,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
KY,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
KY,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
KY,electricity,wind,wind,1975,ELEC_RPS,1,1,1
KY,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
KY,electricity,solar,PV,1975,ELEC_RPS,1,1,1
KY,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
KY,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
KY,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
KY,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
LA,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
LA,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
LA,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
LA,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
LA,electricity,wind,wind,1975,ELEC_RPS,1,1,1
LA,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
LA,electricity,solar,PV,1975,ELEC_RPS,1,1,1
LA,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
LA,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
LA,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
LA,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
MA,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
MA,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
MA,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
MA,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
MA,electricity,wind,wind,1975,ELEC_RPS,1,1,1
MA,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
MA,electricity,solar,PV,1975,ELEC_RPS,1,1,1
MA,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
MA,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
MA,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
MA,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
MD,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
MD,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
MD,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
MD,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
MD,electricity,wind,wind,1975,ELEC_RPS,1,1,1
MD,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
MD,electricity,solar,PV,1975,ELEC_RPS,1,1,1
MD,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
MD,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
MD,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
MD,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
ME,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
ME,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
ME,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
ME,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
ME,electricity,wind,wind,1975,ELEC_RPS,1,1,1
ME,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
ME,electricity,solar,PV,1975,ELEC_RPS,1,1,1
ME,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
ME,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
ME,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
ME,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
MI,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
MI,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
