INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCoef,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name,new.vintage.only
DE,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,DE,1
FL,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,FL,1
FL,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,FL,1
FL,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,FL,1
FL,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,FL,1
FL,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,FL,1
FL,electricity,gas,gas (CC),1975,ELEC_RPS,0,FL,1
FL,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,FL,1
FL,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,FL,1
FL,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,FL,1
FL,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,FL,1
FL,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,FL,1
FL,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,FL,1
FL,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,FL,1
FL,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,FL,1
FL,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,FL,1
FL,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,FL,1
FL,electricity,wind,wind,1975,ELEC_RPS,0,FL,1
FL,electricity,wind,wind_storage,1975,ELEC_RPS,0,FL,1
FL,electricity,solar,PV,1975,ELEC_RPS,0,FL,1
FL,electricity,solar,PV_storage,1975,ELEC_RPS,0,FL,1
FL,electricity,solar,CSP,1975,ELEC_RPS,0,FL,1
FL,electricity,solar,CSP_storage,1975,ELEC_RPS,0,FL,1
FL,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,FL,1
GA,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,GA,1
GA,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,GA,1
GA,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,GA,1
GA,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,GA,1
GA,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,GA,1
GA,electricity,gas,gas (CC),1975,ELEC_RPS,0,GA,1
GA,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,GA,1
GA,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,GA,1
GA,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,GA,1
GA,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,GA,1
GA,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,GA,1
GA,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,GA,1
GA,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,GA,1
GA,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,GA,1
GA,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,GA,1
GA,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,GA,1
GA,electricity,wind,wind,1975,ELEC_RPS,0,GA,1
GA,electricity,wind,wind_storage,1975,ELEC_RPS,0,GA,1
GA,electricity,solar,PV,1975,ELEC_RPS,0,GA,1
GA,electricity,solar,PV_storage,1975,ELEC_RPS,0,GA,1
GA,electricity,solar,CSP,1975,ELEC_RPS,0,GA,1
GA,electricity,solar,CSP_storage,1975,ELEC_RPS,0,GA,1
GA,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,GA,1
HI,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,HI,1
HI,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,HI,1
HI,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,HI,1
HI,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,HI,1
HI,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,HI,1
HI,electricity,gas,gas (CC),1975,ELEC_RPS,0,HI,1
HI,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,HI,1
HI,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,HI,1
HI,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,HI,1
HI,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,HI,1
HI,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,HI,1
HI,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,HI,1
HI,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,HI,1
HI,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,HI,1
HI,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,HI,1
HI,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,HI,1
HI,electricity,wind,wind,1975,ELEC_RPS,0,HI,1
HI,electricity,wind,wind_storage,1975,ELEC_RPS,0,HI,1
HI,electricity,solar,PV,1975,ELEC_RPS,0,HI,1
HI,electricity,solar,PV_storage,1975,ELEC_RPS,0,HI,1
HI,electricity,solar,CSP,1975,ELEC_RPS,0,HI,1
HI,electricity,solar,CSP_storage,1975,ELEC_RPS,0,HI,1
HI,electricity,geothermal,geothermal,1975,ELEC_RPS,0,HI,1
HI,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,HI,1
IA,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,IA,1
IA,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,IA,1
IA,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,IA,1
IA,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,IA,1
IA,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,IA,1
IA,electricity,gas,gas (CC),1975,ELEC_RPS,0,IA,1
IA,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,IA,1
IA,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,IA,1
IA,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,IA,1
IA,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,IA,1
IA,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,IA,1
IA,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,IA,1
IA,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,IA,1
IA,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,IA,1
IA,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,IA,1
IA,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,IA,1
IA,electricity,wind,wind,1975,ELEC_RPS,0,IA,1
IA,electricity,wind,wind_storage,1975,ELEC_RPS,0,IA,1
IA,electricity,solar,PV,1975,ELEC_RPS,0,IA,1
IA,electricity,solar,PV_storage,1975,ELEC_RPS,0,IA,1
IA,electricity,solar,CSP,1975,ELEC_RPS,0,IA,1
IA,electricity,solar,CSP_storage,1975,ELEC_RPS,0,IA,1
IA,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,IA,1
ID,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,ID,1
ID,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,ID,1
ID,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,ID,1
ID,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,ID,1
ID,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,ID,1
ID,electricity,gas,gas (CC),1975,ELEC_RPS,0,ID,1
ID,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,ID,1
ID,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,ID,1
ID,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,ID,1
ID,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,ID,1
ID,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,ID,1
ID,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,ID,1
ID,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,ID,1
ID,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,ID,1
ID,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,ID,1
ID,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,ID,1
ID,electricity,wind,wind,1975,ELEC_RPS,0,ID,1
ID,electricity,wind,wind_storage,1975,ELEC_RPS,0,ID,1
ID,electricity,solar,PV,1975,ELEC_RPS,0,ID,1
ID,electricity,solar,PV_storage,1975,ELEC_RPS,0,ID,1
ID,electricity,solar,CSP,1975,ELEC_RPS,0,ID,1
ID,electricity,solar,CSP_storage,1975,ELEC_RPS,0,ID,1
ID,electricity,geothermal,geothermal,1975,ELEC_RPS,0,ID,1
ID,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,ID,1
IL,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,IL,1
IL,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,IL,1
IL,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,IL,1
IL,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,IL,1
IL,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,IL,1
IL,electricity,gas,gas (CC),1975,ELEC_RPS,0,IL,1
IL,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,IL,1
IL,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,IL,1
IL,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,IL,1
IL,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,IL,1
IL,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,IL,1
IL,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,IL,1
IL,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,IL,1
IL,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,IL,1
IL,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,IL,1
IL,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,IL,1
IL,electricity,wind,wind,1975,ELEC_RPS,0,IL,1
IL,electricity,wind,wind_storage,1975,ELEC_RPS,0,IL,1
IL,electricity,solar,PV,1975,ELEC_RPS,0,IL,1
IL,electricity,solar,PV_storage,1975,ELEC_RPS,0,IL,1
IL,electricity,solar,CSP,1975,ELEC_RPS,0,IL,1
IL,electricity,solar,CSP_storage,1975,ELEC_RPS,0,IL,1
IL,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,IL,1
IN,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,IN,1
