# File: Springmann_FLX_diet.csv
# Title: 2050 Flexitarian (FLX) versus benchmark (BMK) diet
# Units: kcal per person per day
# Source: https://doi.org/10.1016/S2542-5196(18)30206-7
# Column types: ccnn
# ----------
food_group,iso,BMK,FLX
maize,LBY,5.845295954,3.89418153
maize,LKA,28.90709253,18.50189194
maize,LSO,994.8005191,520.0080879
maize,MDA,45.70278298,41.8470763
maize,MDG,124.9653414,68.70631002
maize,MEX,694.21476,489.8998618
maize,MLI,187.3314602,102.0757092
maize,MMR,14.96712647,8.095083407
maize,MNG,0.039185876,0.025651295
maize,MOR,182.2503391,112.6534192
maize,MOZ,381.5294526,232.8742085
maize,MRT,33.89531475,14.36406548
maize,MWI,928.2216437,526.1871724
maize,MYS,46.43298581,28.42594272
maize,NAM,328.9225741,202.2516851
maize,NER,30.36405051,10.71321598
maize,NGA,167.343218,79.15482534
maize,NIC,424.5886255,283.882029
maize,NLD,11.44821333,16.74483941
maize,NPL,370.5821096,184.9062575
maize,NZL,11.75927596,16.74155697
maize,OAO,207.9866477,135.9239761
maize,OBN,213.4642853,135.9241961
maize,OIO,20.62560436,18.08112066
maize,OPO,1.962755465,1.31223814
maize,OSA,64.37742274,47.97306182
maize,PAK,76.20601027,63.06242727
maize,PAN,128.9104282,108.4683993
maize,PER,131.9324889,77.92664732
maize,PHL,29.21476956,19.38183299
maize,PNG,6.278824173,0.374289949
maize,PRK,248.2729082,213.9401802
maize,PRT,53.24206351,54.64918537
maize,PRY,383.2650767,307.7935726
maize,PSE,1.932031159,1.332058472
maize,RAP,16.0745205,6.742046537
maize,ROU,176.7536491,131.2987675
maize,RUS,3.500193947,3.18276059
maize,RWA,118.0538016,48.87545133
maize,SAU,120.5387304,85.40687041
maize,SDN,25.43019959,16.33289603
maize,SEN,191.9646906,89.94421796
maize,SLB,0.672546339,0.346576865
maize,SLE,26.08493912,15.86741516
maize,SLV,537.9372342,498.1020032
maize,SOM,87.80091362,299.2846402
maize,SPP,6.931666965,8.2164908
maize,SVN,185.0028453,162.245701
maize,SWE,6.713386025,9.075634878
maize,SWZ,565.5995773,315.3718194
maize,SYR,35.60378875,23.38458469
maize,TCD,95.08066541,46.85416328
maize,TGO,468.5854275,235.0797551
maize,THA,35.02267493,19.58335147
maize,TJK,60.20355035,49.36472772
maize,TKM,0.093261053,0.065809738
maize,TLS,499.5601089,236.213976
maize,TUR,82.88178818,59.13619822
maize,TZA,464.6698945,272.28689
maize,UGA,188.7669987,116.7809903
maize,UKP,18.41251037,19.09906274
maize,UKR,38.36037599,30.56260301
maize,URY,156.3563588,129.3218299
maize,USA,55.2971392,63.83378899
maize,UZB,17.53839356,11.97644677
maize,VEN,297.0939969,311.4698229
maize,VNM,87.17288326,48.96281806
maize,VUT,1.509213922,0.404824457
maize,YEM,74.62515992,61.25609792
maize,ZAF,726.232654,344.8487459
maize,ZMB,1062.238603,455.0210006
maize,ZWE,755.9276034,428.9328571
othr_grains,all-r,98.11666142,54.84564978
othr_grains,HIC,28.91281131,29.42522359
othr_grains,LMC,86.48242917,47.05216622
othr_grains,UMC,28.59280329,22.3279378
othr_grains,LIC,218.5620707,112.2441492
