# File: A_FLX_FuelPrefElast.csv
# Title: Fuel preference elasticities used in the FLX scenario
# Description: Fuel pref elasticities are adjusted to hit target shares of caloric consumption in 2050
# Source: none
# Units: unitless
# Column types: cccn
# ----------
region,supplysector,subsector,fuelprefElasticity
Indonesia,FoodDemand_Crops,MiscCrop,0
Indonesia,FoodDemand_Crops,NutsSeeds,0.366961084
Indonesia,FoodDemand_Crops,OilCrop,1.897972994
Indonesia,FoodDemand_Crops,OtherGrain,0.00697449
Indonesia,FoodDemand_Crops,PalmFruit,0.022440876
Indonesia,FoodDemand_Crops,Rice,0.077211538
Indonesia,FoodDemand_Crops,RootTuber,0.036480993
Indonesia,FoodDemand_Crops,Soybean,0.345613982
Indonesia,FoodDemand_Crops,SugarCrop,0.122109572
Indonesia,FoodDemand_Crops,Vegetables,0.674350739
Indonesia,FoodDemand_Crops,Wheat,0.072338253
Indonesia,FoodDemand_Meat,Beef,0.529921446
Indonesia,FoodDemand_Meat,Dairy,0.412612479
Indonesia,FoodDemand_Meat,OtherMeat_Fish,0.287489172
Indonesia,FoodDemand_Meat,Pork,0.198931596
Indonesia,FoodDemand_Meat,Poultry,0.264324449
Indonesia,FoodDemand_Meat,SheepGoat,0.491084132
Japan,FoodDemand_Crops,Corn,0.083882473
Japan,FoodDemand_Crops,FiberCrop,0
Japan,FoodDemand_Crops,Fruits,0.307106655
Japan,FoodDemand_Crops,Legumes,2.804418863
Japan,FoodDemand_Crops,MiscCrop,0
Japan,FoodDemand_Crops,NutsSeeds,2.723302433
Japan,FoodDemand_Crops,OilCrop,0.446663267
Japan,FoodDemand_Crops,OtherGrain,0.136826138
Japan,FoodDemand_Crops,PalmFruit,0.089152397
Japan,FoodDemand_Crops,Rice,0.085627356
Japan,FoodDemand_Crops,RootTuber,0.13164197
Japan,FoodDemand_Crops,Soybean,0.135338225
Japan,FoodDemand_Crops,SugarCrop,0.138617107
Japan,FoodDemand_Crops,Vegetables,0.350949139
Japan,FoodDemand_Crops,Wheat,0.098422618
Japan,FoodDemand_Meat,Beef,0.249052253
Japan,FoodDemand_Meat,Dairy,1.870654872
Japan,FoodDemand_Meat,OtherMeat_Fish,1.550678204
