# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
Colorado,comm,gas,heating,gas furnace,2015,0.4825125,0.0294419
Colorado,comm,gas,hot water,gas water heater,2015,0.1979366,0.0120777
Colorado,comm,gas,other,gas,2015,0.2595687,0.0158383
Colorado,comm,refined liquids,heating,fuel furnace,2015,0.0399751,1.278e-4
Colorado,comm,refined liquids,hot water,fuel water heater,2015,1.095e-4,4e-7
Colorado,comm,refined liquids,other,refined liquids,2015,0.9599154,0.0030696
Colorado,resid,biomass,heating,wood furnace,2015,1,0.0123142
Colorado,resid,electricity,clothes dryers,clothes dryer,2015,0.0476332,0.0034114
Colorado,resid,electricity,clothes washers,clothes washer,2015,0.0088027,6.304e-4
Colorado,resid,electricity,computers,electricity,2015,0.0314779,0.0022544
Colorado,resid,electricity,cooking,electric oven,2015,0.0142222,0.0010186
Colorado,resid,electricity,cooling,air conditioning,2015,0.0492889,0.00353
Colorado,resid,electricity,dishwashers,dishwasher,2015,0.0065321,4.678e-4
Colorado,resid,electricity,freezers,freezer,2015,0.0197806,0.0014167
Colorado,resid,electricity,furnace fans,electricity,2015,0.0152996,0.0010957
Colorado,resid,electricity,heating,electric furnace,2015,0.0969854,0.006946
Colorado,resid,electricity,heating,electric heat pump,2015,0.0244919,0.0017541
Colorado,resid,electricity,hot water,electric resistance water heater,2015,0.0896028,0.0064172
Colorado,resid,electricity,lighting,lighting,2015,0.1057015,0.0075702
Colorado,resid,electricity,other,electricity,2015,0.4137816,0.0296344
Colorado,resid,electricity,refrigerators,refrigerator,2015,0.0763997,0.0054716
Colorado,resid,gas,clothes dryers,clothes dryer,2015,0.0070785,8.814e-4
Colorado,resid,gas,cooking,gas oven,2015,0.0177382,0.0022088
Colorado,resid,gas,cooling,air conditioning,2015,0.0176856,0.0022023
Colorado,resid,gas,heating,gas furnace,2015,0.6092142,0.0758614
Colorado,resid,gas,hot water,gas water heater,2015,0.289746,0.0360801
Colorado,resid,gas,other,gas,2015,0.0585374,0.0072893
Colorado,resid,refined liquids,cooking,lpg oven,2015,0.0336762,3.857e-4
Colorado,resid,refined liquids,heating,fuel furnace,2015,0.5329831,0.0061042
Colorado,resid,refined liquids,hot water,fuel water heater,2015,0.2526383,0.0028935
Colorado,resid,refined liquids,other,refined liquids,2015,0.1807025,0.0020696
Connecticut,comm,electricity,cooking,electric range,2015,0.0120756,6.157e-4
Connecticut,comm,electricity,cooling,air conditioning,2015,0.048894,0.0024929
Connecticut,comm,electricity,heating,electric furnace,2015,0.0156825,7.996e-4
Connecticut,comm,electricity,heating,electric heat pump,2015,0.0069388,3.538e-4
Connecticut,comm,electricity,hot water,electric heat pump water heater,2015,4.2e-5,2.1e-6
Connecticut,comm,electricity,hot water,electric resistance water heater,2015,0.0053416,2.724e-4
Connecticut,comm,electricity,lighting,lighting,2015,0.088669799999999993,0.004521
Connecticut,comm,electricity,office,office equipment,2015,0.110951,0.005657
Connecticut,comm,electricity,other,electricity,2015,0.4952979,0.0252534
Connecticut,comm,electricity,refrigeration,refrigeration,2015,0.1403147,0.0071541
Connecticut,comm,electricity,ventilation,ventilation,2015,0.0757921,0.0038644
Connecticut,comm,gas,cooking,gas range,2015,0.0422426,0.0019754
Connecticut,comm,gas,cooling,gas cooling,2015,0.0018806,8.79e-5
Connecticut,comm,gas,heating,gas furnace,2015,0.2909385,0.0136052
Connecticut,comm,gas,hot water,gas water heater,2015,0.0440144,0.0020582
Connecticut,comm,gas,other,gas,2015,0.620924,0.0290363
Connecticut,comm,refined liquids,heating,fuel furnace,2015,0.9839995,0.0211425
Connecticut,comm,refined liquids,hot water,fuel water heater,2015,0.0160005,3.438e-4
Connecticut,comm,refined liquids,other,refined liquids,2015,0,0
Connecticut,resid,biomass,heating,wood furnace,2015,1,0.0134686
Connecticut,resid,electricity,clothes dryers,clothes dryer,2015,0.0473456,0.0018636
Connecticut,resid,electricity,clothes washers,clothes washer,2015,0.0088934,3.501e-4
Connecticut,resid,electricity,computers,electricity,2015,0.0325419,0.0012809
Connecticut,resid,electricity,cooking,electric oven,2015,0.0158503,6.239e-4
Connecticut,resid,electricity,cooling,air conditioning,2015,0.0577003,0.0022711
Connecticut,resid,electricity,dishwashers,dishwasher,2015,0.0060162,2.368e-4
Connecticut,resid,electricity,freezers,freezer,2015,0.0150479,5.923e-4
Connecticut,resid,electricity,furnace fans,electricity,2015,0.0302728,0.0011916
Connecticut,resid,electricity,heating,electric furnace,2015,0.06947,0.0027344
Connecticut,resid,electricity,heating,electric heat pump,2015,0.0028202,1.11e-4
Connecticut,resid,electricity,hot water,electric resistance water heater,2015,0.1150288,0.0045276
Connecticut,resid,electricity,lighting,lighting,2015,0.1220162,0.0048027
Connecticut,resid,electricity,other,electricity,2015,0.4013041,0.0157957
Connecticut,resid,electricity,refrigerators,refrigerator,2015,0.0756922,0.0029793
Connecticut,resid,gas,clothes dryers,clothes dryer,2015,0.0055299,2.897e-4
Connecticut,resid,gas,cooking,gas oven,2015,0.0187156,9.803e-4
Connecticut,resid,gas,cooling,air conditioning,2015,5.707e-4,2.99e-5
Connecticut,resid,gas,heating,gas furnace,2015,0.7603502,0.0398281
Connecticut,resid,gas,hot water,gas water heater,2015,0.1953955,0.0102351
Connecticut,resid,gas,other,gas,2015,0.019438,0.0010182
Connecticut,resid,refined liquids,cooking,lpg oven,2015,0.0111704,7.191e-4
Connecticut,resid,refined liquids,heating,fuel furnace,2015,0.8494985,0.0546837
Connecticut,resid,refined liquids,hot water,fuel water heater,2015,0.1163579,0.0074902
Connecticut,resid,refined liquids,other,refined liquids,2015,0.0229733,0.0014788
Delaware,comm,electricity,cooking,electric range,2015,0.0121044,1.835e-4
Delaware,comm,electricity,cooling,air conditioning,2015,0.0923867,0.0014002
Delaware,comm,electricity,heating,electric furnace,2015,0.0200534,3.039e-4
Delaware,comm,electricity,heating,electric heat pump,2015,0.0060007,9.09e-5
Delaware,comm,electricity,hot water,electric heat pump water heater,2015,8.38e-5,1.3e-6
