"sourceTypeModelYearID";"sourceTypeID";"modelYearID";"fuelTypeID";"engTechID";"regClassID";"stmyFuelEngFraction";"stmyFraction"
541960;54;1960;1;1;47;0.039603960396039604;0.03361344537815126
541960;54;1960;1;1;41;0.26732673267326734;0.226890756302521
541960;54;1960;2;1;47;0.05555555555555555;0.008403361344537815
541960;54;1960;2;1;41;0.2777777777777778;0.04201680672268908
541960;54;1960;2;1;46;0.2777777777777778;0.04201680672268908
541960;54;1960;2;1;42;0.3888888888888889;0.058823529411764705
111961;11;1961;1;1;10;1.0;1.0
411961;41;1961;2;1;47;0.6709677419354839;0.6709677419354839
411961;41;1961;2;1;41;0.1870967741935484;0.1870967741935484
411961;41;1961;2;1;42;0.01935483870967742;0.01935483870967742
411961;41;1961;2;1;46;0.12258064516129032;0.12258064516129032
421961;42;1961;1;1;47;1.0;0.009615384615384616
532009;53;2009;1;1;42;0.42744095226666096;0.0
532008;53;2008;1;1;42;0.42744095226666096;0.0
421961;42;1961;2;1;48;1.0;0.9903846153846154
421961;42;1961;3;1;48;1.0;0.0
431961;43;1961;1;1;42;0.006418485237483954;0.006038647342995169
431961;43;1961;1;1;46;0.938382541720154;0.8828502415458938
431961;43;1961;1;1;41;0.010269576379974325;0.00966183574879227
431961;43;1961;1;1;47;0.044929396662387676;0.042270531400966184
532007;53;2007;1;1;42;0.42744095226666096;0.0
431961;43;1961;2;1;46;0.9387755102040817;0.05555555555555555
431961;43;1961;2;1;47;0.04081632653061224;0.0024154589371980675
431961;43;1961;2;1;41;0.02040816326530612;0.0012077294685990338
541961;54;1961;1;1;46;0.297029702970297;0.25210084033613445
541961;54;1961;1;1;42;0.39603960396039606;0.33613445378151263
541961;54;1961;1;1;47;0.039603960396039604;0.03361344537815126
541961;54;1961;1;1;41;0.26732673267326734;0.226890756302521
541961;54;1961;2;1;47;0.05555555555555555;0.008403361344537815
541961;54;1961;2;1;41;0.2777777777777778;0.04201680672268908
541961;54;1961;2;1;46;0.2777777777777778;0.04201680672268908
541961;54;1961;2;1;42;0.3888888888888889;0.058823529411764705
111962;11;1962;1;1;10;1.0;1.0
411962;41;1962;2;1;47;0.6709677419354839;0.6709677419354839
411962;41;1962;2;1;41;0.1870967741935484;0.1870967741935484
411962;41;1962;2;1;42;0.01935483870967742;0.01935483870967742
411962;41;1962;2;1;46;0.12258064516129032;0.12258064516129032
421962;42;1962;1;1;47;1.0;0.009615384615384616
532006;53;2006;1;1;42;0.42744095226666096;0.0
532005;53;2005;1;1;42;0.42744095226666096;0.0
421962;42;1962;2;1;48;1.0;0.9903846153846154
421962;42;1962;3;1;48;1.0;0.0
431962;43;1962;1;1;42;0.006418485237483954;0.006038647342995169
431962;43;1962;1;1;46;0.938382541720154;0.8828502415458938
431962;43;1962;1;1;41;0.010269576379974325;0.00966183574879227
431962;43;1962;1;1;47;0.044929396662387676;0.042270531400966184
532004;53;2004;1;1;42;0.42744095226666096;0.0
431962;43;1962;2;1;46;0.9387755102040817;0.05555555555555555
431962;43;1962;2;1;47;0.04081632653061224;0.0024154589371980675
431962;43;1962;2;1;41;0.02040816326530612;0.0012077294685990338
541962;54;1962;1;1;46;0.297029702970297;0.25210084033613445
541962;54;1962;1;1;42;0.39603960396039606;0.33613445378151263
541962;54;1962;1;1;47;0.039603960396039604;0.03361344537815126
541962;54;1962;1;1;41;0.26732673267326734;0.226890756302521
541962;54;1962;2;1;47;0.05555555555555555;0.008403361344537815
541962;54;1962;2;1;41;0.2777777777777778;0.04201680672268908
541962;54;1962;2;1;46;0.2777777777777778;0.04201680672268908
541962;54;1962;2;1;42;0.3888888888888889;0.058823529411764705
111963;11;1963;1;1;10;1.0;1.0
411963;41;1963;2;1;47;0.6709677419354839;0.6709677419354839
411963;41;1963;2;1;41;0.1870967741935484;0.1870967741935484
411963;41;1963;2;1;42;0.01935483870967742;0.01935483870967742
411963;41;1963;2;1;46;0.12258064516129032;0.12258064516129032
421963;42;1963;1;1;47;1.0;0.009615384615384616
532003;53;2003;1;1;42;0.42744095226666096;0.0
532002;53;2002;1;1;42;0.42744095226666096;0.0
421963;42;1963;2;1;48;1.0;0.9903846153846154
421963;42;1963;3;1;48;1.0;0.0
431963;43;1963;1;1;42;0.006418485237483954;0.006038647342995169
431963;43;1963;1;1;46;0.938382541720154;0.8828502415458938
431963;43;1963;1;1;41;0.010269576379974325;0.00966183574879227
431963;43;1963;1;1;47;0.044929396662387676;0.042270531400966184
532050;53;2050;1;1;41;0.33199877854628496;0.0
431963;43;1963;2;1;46;0.9387755102040817;0.05555555555555555
431963;43;1963;2;1;47;0.04081632653061224;0.0024154589371980675
431963;43;1963;2;1;41;0.02040816326530612;0.0012077294685990338
541963;54;1963;1;1;46;0.297029702970297;0.25210084033613445
541963;54;1963;1;1;42;0.39603960396039606;0.33613445378151263
541963;54;1963;1;1;47;0.039603960396039604;0.03361344537815126
541963;54;1963;1;1;41;0.26732673267326734;0.226890756302521
541963;54;1963;2;1;47;0.05555555555555555;0.008403361344537815
541963;54;1963;2;1;41;0.2777777777777778;0.04201680672268908
541963;54;1963;2;1;46;0.2777777777777778;0.04201680672268908
541963;54;1963;2;1;42;0.3888888888888889;0.058823529411764705
111964;11;1964;1;1;10;1.0;1.0
411964;41;1964;2;1;47;0.6709677419354839;0.6709677419354839
411964;41;1964;2;1;41;0.1870967741935484;0.1870967741935484
411964;41;1964;2;1;42;0.01935483870967742;0.01935483870967742
411964;41;1964;2;1;46;0.12258064516129032;0.12258064516129032
421964;42;1964;1;1;47;1.0;0.009615384615384616
532049;53;2049;1;1;41;0.33199877854628496;0.0
532048;53;2048;1;1;41;0.33199877854628496;0.0
421964;42;1964;2;1;48;1.0;0.9903846153846154
421964;42;1964;3;1;48;1.0;0.0
431964;43;1964;1;1;42;0.006418485237483954;0.006038647342995169
431964;43;1964;1;1;46;0.938382541720154;0.8828502415458938
431964;43;1964;1;1;41;0.010269576379974325;0.00966183574879227
431964;43;1964;1;1;47;0.044929396662387676;0.042270531400966184
532047;53;2047;1;1;41;0.33199877854628496;0.0
431964;43;1964;2;1;46;0.9387755102040817;0.05555555555555555
431964;43;1964;2;1;47;0.04081632653061224;0.0024154589371980675
431964;43;1964;2;1;41;0.02040816326530612;0.0012077294685990338
541964;54;1964;1;1;46;0.297029702970297;0.25210084033613445
541964;54;1964;1;1;42;0.39603960396039606;0.33613445378151263
541964;54;1964;1;1;47;0.039603960396039604;0.03361344537815126
541964;54;1964;1;1;41;0.26732673267326734;0.226890756302521
541964;54;1964;2;1;47;0.05555555555555555;0.008403361344537815
541964;54;1964;2;1;41;0.2777777777777778;0.04201680672268908
541964;54;1964;2;1;46;0.2777777777777778;0.04201680672268908
541964;54;1964;2;1;42;0.3888888888888889;0.058823529411764705
111965;11;1965;1;1;10;1.0;1.0
411965;41;1965;2;1;47;0.6709677419354839;0.6709677419354839
411965;41;1965;2;1;41;0.1870967741935484;0.1870967741935484
411965;41;1965;2;1;42;0.01935483870967742;0.01935483870967742
411965;41;1965;2;1;46;0.12258064516129032;0.12258064516129032
421965;42;1965;1;1;47;1.0;0.009615384615384616
532046;53;2046;1;1;41;0.33199877854628496;0.0
532045;53;2045;1;1;41;0.33199877854628496;0.0
421965;42;1965;2;1;48;1.0;0.9903846153846154
421965;42;1965;3;1;48;1.0;0.0
431965;43;1965;1;1;42;0.006418485237483954;0.006038647342995169
431965;43;1965;1;1;46;0.938382541720154;0.8828502415458938
431965;43;1965;1;1;41;0.010269576379974325;0.00966183574879227
431965;43;1965;1;1;47;0.044929396662387676;0.042270531400966184
532044;53;2044;1;1;41;0.33199877854628496;0.0
431965;43;1965;2;1;46;0.9387755102040817;0.05555555555555555
431965;43;1965;2;1;47;0.04081632653061224;0.0024154589371980675
431965;43;1965;2;1;41;0.02040816326530612;0.0012077294685990338
541965;54;1965;1;1;46;0.297029702970297;0.25210084033613445
541965;54;1965;1;1;42;0.39603960396039606;0.33613445378151263
541965;54;1965;1;1;47;0.039603960396039604;0.03361344537815126
541965;54;1965;1;1;41;0.26732673267326734;0.226890756302521
541965;54;1965;2;1;47;0.05555555555555555;0.008403361344537815
541965;54;1965;2;1;41;0.2777777777777778;0.04201680672268908
541965;54;1965;2;1;46;0.2777777777777778;0.04201680672268908
541965;54;1965;2;1;42;0.3888888888888889;0.058823529411764705
111966;11;1966;1;1;10;1.0;1.0
