# File: NREL_ATB_capital_2023.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2023 ATB
# Units: $2021/kW for 2021-20
# Source: NREL 2023 Annual Technology Baseline for 2021-2050 (https://data.openei.org/submissions/5716
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -------------
tech_type,tech_detail,input,case,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 12,capital,central,3683.903316,4032.749852,3737.268539,3305.321005,3229.991512,3166.301333,3111.130391,3062.466171,3018.934542,2979.555395,2943.605049,2910.533937,2879.91487,2851.409201,2824.743928,2799.695754,2776.079708,2753.740844,2732.548079,2712.389529,2693.168932,2674.802871,2657.218586,2640.352231,2624.147474,2608.554366,2593.528407,2579.029785,2565.022738,2551.475022
Offshore Wind,Class 12,capital,low tech,4160.524762,4622.026634,4331.50838,3866.012573,3807.411171,3757.864393,3714.945021,3677.087452,3643.222702,3612.58831,3584.621301,3558.894147,3535.074522,3512.898982,3492.15515,3472.669315,3454.297581,3436.919412,3420.432832,3404.750803,3389.79844,3375.51085,3361.831431,3348.710513,3336.104276,3323.973862,3312.284652,3301.005676,3290.109112,3279.569878
Offshore Wind,Class 13,capital,adv tech,3428.813775,3727.534974,3435.901808,3025.273179,2944.97754,2877.088544,2818.280421,2766.407981,2720.006502,2678.031258,2639.710863,2604.459516,2571.821867,2541.436943,2513.013745,2486.314254,2461.141304,2437.329736,2414.739825,2393.252309,2372.764581,2353.187726,2334.444186,2316.465905,2299.192839,2282.571745,2266.55519,2251.100737,2236.170266,2221.729408
Offshore Wind,Class 13,capital,central,3687.893717,4037.118122,3741.316744,3308.901325,3233.490235,3169.731067,3114.500364,3065.783431,3022.204649,2982.782846,2946.793559,2913.686625,2883.034391,2854.497844,2827.803687,2802.728381,2779.086754,2756.723693,2735.507973,2715.327586,2696.086169,2677.700215,2660.096883,2643.212258,2626.989948,2611.379949,2596.337715,2581.823388,2567.801168,2554.238777
Offshore Wind,Class 13,capital,low tech,4165.031437,4627.033208,4336.200265,3870.200233,3811.535355,3761.934907,3718.969045,3681.070469,3647.169037,3616.501462,3588.504159,3562.749137,3538.903711,3516.704151,3495.937849,3476.430907,3458.039273,3440.642279,3424.137841,3408.438825,3393.470266,3379.1672,3365.472963,3352.337833,3339.717941,3327.574386,3315.872515,3304.581321,3293.672955,3283.122304
Offshore Wind,Class 14,capital,adv tech,3766.685036,4094.84187,3774.471516,3323.380026,3235.172149,3160.593453,3095.990447,3039.006557,2988.032731,2941.921296,2899.824855,2861.099882,2825.246158,2791.867139,2760.643152,2731.312725,2703.659262,2677.501331,2652.685436,2629.080566,2606.574002,2585.068066,2564.47756,2544.727721,2525.752587,2507.49367,2489.898863,2472.921546,2456.519844,2440.656001
Offshore Wind,Class 14,capital,central,4051.294409,4434.930976,4109.981679,3634.956555,3552.114546,3482.072624,3421.399553,3367.88211,3320.009127,3276.702746,3237.167117,3200.797865,3167.125196,3135.776692,3106.452124,3078.905927,3052.934682,3028.367991,3005.061699,2982.892761,2961.755317,2941.557633,2922.219689,2903.671273,2885.850436,2868.702247,2852.177768,2836.233216,2820.829263,2805.93045
Offshore Wind,Class 14,capital,low tech,4575.448718,5082.975598,4763.48432,4251.565195,4187.119549,4132.631532,4085.431864,4043.798807,4006.556768,3972.867246,3942.111122,3913.818231,3887.623105,3863.236026,3840.423437,3818.994304,3798.79038,3779.679107,3761.548341,3744.302363,3727.858819,3712.146346,3697.102695,3682.673245,3668.809804,3655.469638,3642.614678,3630.210863,3618.227599,3606.6373
Land-Based Wind,Class 1,capital,adv tech,1283.883035,1444.313513,1350.763207,1200.008311,1172.050069,1144.091828,1116.133586,1088.175345,1060.217104,1032.258862,1020.658927,1009.058992,997.4590574,985.8591225,974.2591875,962.6592526,951.0593177,939.4593828,927.8594478,916.2595129,904.659578,893.059643,881.4597081,869.8597732,858.2598382,846.6599033,835.0599684,823.4600335,811.8600985,800.2601636
Land-Based Wind,Class 1,capital,central,1283.883035,1450.828648,1363.226944,1217.004315,1194.711408,1172.418502,1150.125595,1127.832688,1105.539781,1083.246875,1072.580761,1061.914647,1051.248534,1040.58242,1029.916307,1019.250193,1008.584079,997.9179657,987.2518521,976.5857385,965.9196249,955.2535113,944.5873976,933.921284,923.2551704,912.5890568,901.9229432,891.2568295,880.5907159,869.9246023
Land-Based Wind,Class 1,capital,low tech,1283.883035,1465.748164,1391.768628,1255.924794,1246.60538,1237.285966,1227.966552,1218.647138,1209.327725,1200.008311,1191.916795,1183.825279,1175.733763,1167.642247,1159.550731,1151.459215,1143.367699,1135.276183,1127.184667,1119.093152,1111.001636,1102.91012,1094.818604,1086.727088,1078.635572,1070.544056,1062.45254,1054.361024,1046.269508,1038.177992
Land-Based Wind,Class 2,capital,adv tech,1283.883035,1444.313513,1350.763207,1200.008311,1172.050069,1144.091828,1116.133586,1088.175345,1060.217104,1032.258862,1020.658927,1009.058992,997.4590574,985.8591225,974.2591875,962.6592526,951.0593177,939.4593828,927.8594478,916.2595129,904.659578,893.059643,881.4597081,869.8597732,858.2598382,846.6599033,835.0599684,823.4600335,811.8600985,800.2601636
Land-Based Wind,Class 2,capital,central,1283.883035,1450.828648,1363.226944,1217.004315,1194.711408,1172.418502,1150.125595,1127.832688,1105.539781,1083.246875,1072.580761,1061.914647,1051.248534,1040.58242,1029.916307,1019.250193,1008.584079,997.9179657,987.2518521,976.5857385,965.9196249,955.2535113,944.5873976,933.921284,923.2551704,912.5890568,901.9229432,891.2568295,880.5907159,869.9246023
Land-Based Wind,Class 2,capital,low tech,1283.883035,1465.748164,1391.768628,1255.924794,1246.60538,1237.285966,1227.966552,1218.647138,1209.327725,1200.008311,1191.916795,1183.825279,1175.733763,1167.642247,1159.550731,1151.459215,1143.367699,1135.276183,1127.184667,1119.093152,1111.001636,1102.91012,1094.818604,1086.727088,1078.635572,1070.544056,1062.45254,1054.361024,1046.269508,1038.177992
Land-Based Wind,Class 3,capital,adv tech,1283.883035,1444.313513,1350.763207,1200.008311,1172.050069,1144.091828,1116.133586,1088.175345,1060.217104,1032.258862,1020.658927,1009.058992,997.4590574,985.8591225,974.2591875,962.6592526,951.0593177,939.4593828,927.8594478,916.2595129,904.659578,893.059643,881.4597081,869.8597732,858.2598382,846.6599033,835.0599684,823.4600335,811.8600985,800.2601636
Land-Based Wind,Class 3,capital,central,1283.883035,1450.828648,1363.226944,1217.004315,1194.711408,1172.418502,1150.125595,1127.832688,1105.539781,1083.246875,1072.580761,1061.914647,1051.248534,1040.58242,1029.916307,1019.250193,1008.584079,997.9179657,987.2518521,976.5857385,965.9196249,955.2535113,944.5873976,933.921284,923.2551704,912.5890568,901.9229432,891.2568295,880.5907159,869.9246023
Land-Based Wind,Class 3,capital,low tech,1283.883035,1465.748164,1391.768628,1255.924794,1246.60538,1237.285966,1227.966552,1218.647138,1209.327725,1200.008311,1191.916795,1183.825279,1175.733763,1167.642247,1159.550731,1151.459215,1143.367699,1135.276183,1127.184667,1119.093152,1111.001636,1102.91012,1094.818604,1086.727088,1078.635572,1070.544056,1062.45254,1054.361024,1046.269508,1038.177992
Land-Based Wind,Class 4,capital,adv tech,1283.883035,1444.313513,1350.763207,1200.008311,1172.050069,1144.091828,1116.133586,1088.175345,1060.217104,1032.258862,1020.658927,1009.058992,997.4590574,985.8591225,974.2591875,962.6592526,951.0593177,939.4593828,927.8594478,916.2595129,904.659578,893.059643,881.4597081,869.8597732,858.2598382,846.6599033,835.0599684,823.4600335,811.8600985,800.2601636
Land-Based Wind,Class 4,capital,central,1283.883035,1450.828648,1363.226944,1217.004315,1194.711408,1172.418502,1150.125595,1127.832688,1105.539781,1083.246875,1072.580761,1061.914647,1051.248534,1040.58242,1029.916307,1019.250193,1008.584079,997.9179657,987.2518521,976.5857385,965.9196249,955.2535113,944.5873976,933.921284,923.2551704,912.5890568,901.9229432,891.2568295,880.5907159,869.9246023
Land-Based Wind,Class 4,capital,low tech,1283.883035,1465.748164,1391.768628,1255.924794,1246.60538,1237.285966,1227.966552,1218.647138,1209.327725,1200.008311,1191.916795,1183.825279,1175.733763,1167.642247,1159.550731,1151.459215,1143.367699,1135.276183,1127.184667,1119.093152,1111.001636,1102.91012,1094.818604,1086.727088,1078.635572,1070.544056,1062.45254,1054.361024,1046.269508,1038.177992
Land-Based Wind,Class 5,capital,adv tech,1283.883035,1444.313513,1350.763207,1200.008311,1172.050069,1144.091828,1116.133586,1088.175345,1060.217104,1032.258862,1020.658927,1009.058992,997.4590574,985.8591225,974.2591875,962.6592526,951.0593177,939.4593828,927.8594478,916.2595129,904.659578,893.059643,881.4597081,869.8597732,858.2598382,846.6599033,835.0599684,823.4600335,811.8600985,800.2601636
Land-Based Wind,Class 5,capital,central,1283.883035,1450.828648,1363.226944,1217.004315,1194.711408,1172.418502,1150.125595,1127.832688,1105.539781,1083.246875,1072.580761,1061.914647,1051.248534,1040.58242,1029.916307,1019.250193,1008.584079,997.9179657,987.2518521,976.5857385,965.9196249,955.2535113,944.5873976,933.921284,923.2551704,912.5890568,901.9229432,891.2568295,880.5907159,869.9246023
Land-Based Wind,Class 5,capital,low tech,1283.883035,1465.748164,1391.768628,1255.924794,1246.60538,1237.285966,1227.966552,1218.647138,1209.327725,1200.008311,1191.916795,1183.825279,1175.733763,1167.642247,1159.550731,1151.459215,1143.367699,1135.276183,1127.184667,1119.093152,1111.001636,1102.91012,1094.818604,1086.727088,1078.635572,1070.544056,1062.45254,1054.361024,1046.269508,1038.177992
