# File: A25.stubtech_cost.csv
# Title: Regional hydrogen non-energy costs
# Units: $1975/GJ
# Source: H2A 2018 (electrolyzer) and ATB (solar panels and wind turbines)
# Comments: Non-energy costs refer to the LCOH for the electrolyzer. Solar panel and wind turbine costs are displayed separately. Electrolyzer capacity factors are based on the renewable they are paired to, and the renewable capacity factors are consistent with GCAMs electricity sector.
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnn 
# ----------
Colombia,H2 central production,wind,electrolysis,non-energy,6.579561929,6.579561929,6.579561929,6.579561929,6.579561929,5.553603578,4.687624044,3.956677655,3.339708542,2.818944104,2.37938304,2.171255437,2.171255437,2.171255437,2.171255437,2.171255437,2.171255437,2.171255437,2.171255437,2.171255437,2.171255437,2.171255437
EU-12,H2 central production,wind,electrolysis,non-energy,5.857822123,5.857822123,5.857822123,5.857822123,5.857822123,4.946294763,4.176608878,3.526692717,2.977909085,2.514520892,2.123239876,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301
EU-15,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Europe_Eastern,H2 central production,wind,electrolysis,non-energy,6.42113124,6.42113124,6.42113124,6.42113124,6.42113124,5.42029214,4.575450304,3.862290988,3.260289302,2.752119497,2.323156329,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309
Europe_Non_EU,H2 central production,wind,electrolysis,non-energy,5.989047543,5.989047543,5.989047543,5.989047543,5.989047543,5.056714784,4.269521025,3.604872049,3.043690946,2.569870567,2.169811209,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689
European Free Trade Association,H2 central production,wind,electrolysis,non-energy,5.857822123,5.857822123,5.857822123,5.857822123,5.857822123,4.946294763,4.176608878,3.526692717,2.977909085,2.514520892,2.123239876,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301
India,H2 central production,wind,electrolysis,non-energy,6.12637647,6.12637647,6.12637647,6.12637647,6.12637647,5.172270498,4.366754515,3.6866875,3.112532357,2.627794646,2.218548727,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235
Indonesia,H2 central production,wind,electrolysis,non-energy,6.42113124,6.42113124,6.42113124,6.42113124,6.42113124,5.42029214,4.575450304,3.862290988,3.260289302,2.752119497,2.323156329,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309
Japan,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Mexico,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Middle East,H2 central production,wind,electrolysis,non-energy,6.12637647,6.12637647,6.12637647,6.12637647,6.12637647,5.172270498,4.366754515,3.6866875,3.112532357,2.627794646,2.218548727,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235
Pakistan,H2 central production,wind,electrolysis,non-energy,6.12637647,6.12637647,6.12637647,6.12637647,6.12637647,5.172270498,4.366754515,3.6866875,3.112532357,2.627794646,2.218548727,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235
Russia,H2 central production,wind,electrolysis,non-energy,5.857822123,5.857822123,5.857822123,5.857822123,5.857822123,4.946294763,4.176608878,3.526692717,2.977909085,2.514520892,2.123239876,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301,1.933081301
South Africa,H2 central production,wind,electrolysis,non-energy,5.989047543,5.989047543,5.989047543,5.989047543,5.989047543,5.056714784,4.269521025,3.604872049,3.043690946,2.569870567,2.169811209,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689
South America_Northern,H2 central production,wind,electrolysis,non-energy,6.12637647,6.12637647,6.12637647,6.12637647,6.12637647,5.172270498,4.366754515,3.6866875,3.112532357,2.627794646,2.218548727,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235
South America_Southern,H2 central production,wind,electrolysis,non-energy,5.989047543,5.989047543,5.989047543,5.989047543,5.989047543,5.056714784,4.269521025,3.604872049,3.043690946,2.569870567,2.169811209,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689,1.976385689
South Asia,H2 central production,wind,electrolysis,non-energy,6.12637647,6.12637647,6.12637647,6.12637647,6.12637647,5.172270498,4.366754515,3.6866875,3.112532357,2.627794646,2.218548727,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235
South Korea,H2 central production,wind,electrolysis,non-energy,7.301301736,7.301301736,7.301301736,7.301301736,7.301301736,6.160909787,5.198635912,4.386659808,3.701506433,3.123367316,2.635527878,2.409429573,2.409429573,2.409429573,2.409429573,2.409429573,2.409429573,2.409429573,2.409429573,2.409429573,2.409429573,2.409429573
Southeast Asia,H2 central production,wind,electrolysis,non-energy,6.12637647,6.12637647,6.12637647,6.12637647,6.12637647,5.172270498,4.366754515,3.6866875,3.112532357,2.627794646,2.218548727,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235,2.021704235
Taiwan,H2 central production,wind,electrolysis,non-energy,6.746117269,6.746117269,6.746117269,6.746117269,6.746117269,5.693751366,4.805550114,4.05590452,3.423200484,2.889195615,2.438493258,2.226218699,2.226218699,2.226218699,2.226218699,2.226218699,2.226218699,2.226218699,2.226218699,2.226218699,2.226218699,2.226218699
USA,H2 central production,wind,electrolysis,non-energy,5.732302157,5.732302157,5.732302157,5.732302157,5.732302157,4.840675501,4.087736247,3.451912367,2.914987237,2.461577725,2.078693457,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712,1.891659712
Africa_Eastern,H2 central production,solar,electrolysis,solar panels,16.63082063,16.63082063,16.63082063,16.63082063,16.63082063,11.87028581,9.071519079,7.391898614,6.398670487,5.772250134,5.363231344,5.098079072,4.904310212,4.78034777,4.660618072,4.597894375,4.576228094,4.574680502,4.573132911,4.571585319,4.571585319,4.570037728
Africa_Northern,H2 central production,solar,electrolysis,solar panels,16.75929213,16.75929213,16.75929213,16.75929213,16.75929213,11.96198263,9.141595695,7.449000322,6.448099604,5.816840213,5.404661792,5.137461244,4.942195538,4.817275498,4.6966209,4.633412668,4.611579017,4.610019471,4.608459924,4.606900378,4.606900378,4.605340831
Africa_Southern,H2 central production,solar,electrolysis,solar panels,17.04257705,17.04257705,17.04257705,17.04257705,17.04257705,12.16417789,9.296117511,7.574911934,6.557092835,5.915163169,5.496017632,5.224300552,5.025734239,4.898702656,4.776008614,4.711731964,4.689529256,4.687943348,4.68635744,4.684771532,4.684771532,4.683185624
Africa_Western,H2 central production,solar,electrolysis,solar panels,17.16536162,17.16536162,17.16536162,17.16536162,17.16536162,12.25181565,9.363092111,7.629485975,6.60433392,5.957779421,5.535614118,5.261939431,5.061942531,4.93399574,4.810417739,4.745678003,4.723315333,4.721717999,4.720120666,4.718523332,4.718523332,4.716925999
Argentina,H2 central production,solar,electrolysis,solar panels,20.16704918,20.16704918,20.16704918,20.16704918,20.16704918,14.39427692,11.00040554,8.96364564,7.759226393,6.999609634,6.503620757,6.182088884,5.94711875,5.796798047,5.651610099,5.575549398,5.549276193,5.547399536,5.545522878,5.543646221,5.543646221,5.541769563
Australia_NZ,H2 central production,solar,electrolysis,solar panels,17.2314248,17.2314248,17.2314248,17.2314248,17.2314248,12.29896839,9.399127217,7.658849068,6.629751578,5.980708729,5.556918666,5.282190705,5.081424091,4.952984879,4.828931272,4.763942376,4.741493641,4.73989016,4.738286679,4.736683198,4.736683198,4.735079716
Brazil,H2 central production,solar,electrolysis,solar panels,19.03388926,19.03388926,19.03388926,19.03388926,19.03388926,13.58548147,10.38230724,8.459990201,7.323245685,6.606310791,6.138190875,5.834725454,5.612957983,5.471083602,5.334053574,5.262266624,5.237469676,5.235698465,5.233927254,5.232156044,5.232156044,5.230384833
Canada,H2 central production,solar,electrolysis,solar panels,36.18361698,36.18361698,36.18361698,36.18361698,36.18361698,25.82613839,19.73687162,16.08252738,13.9215645,12.55866398,11.66876326,11.09187241,10.67029019,10.40058555,10.14009007,10.00362235,9.956483099,9.95311601,9.94974892,9.946381831,9.946381831,9.943014742
Central America and Caribbean,H2 central production,solar,electrolysis,solar panels,18.68418336,18.68418336,18.68418336,18.68418336,18.68418336,13.33587809,10.19155516,8.304556468,7.188697134,6.484934344,6.025415103,5.727525193,5.509832212,5.370564461,5.236052058,5.165584035,5.141242677,5.139504008,5.13776534,5.136026671,5.136026671,5.134288003
Central Asia,H2 central production,solar,electrolysis,solar panels,21.87455994,21.87455994,21.87455994,21.87455994,21.87455994,15.61301659,11.93179172,9.722582721,8.416187284,7.592255028,7.054271591,6.705516145,6.450651479,6.287603369,6.130122598,6.047621963,6.019124249,6.017088698,6.015053147,6.013017596,6.013017596,6.010982045
China,H2 central production,solar,electrolysis,solar panels,19.57577916,19.57577916,19.57577916,19.57577916,19.57577916,13.97225661,10.67788884,8.700843933,7.531736594,6.794390749,6.312943581,6.000838578,5.772757444,5.626843936,5.485912699,5.412081992,5.386579082,5.384757445,5.382935809,5.381114172,5.381114172,5.379292536
EU-12,H2 central production,solar,electrolysis,solar panels,28.37088315,28.37088315,28.37088315,28.37088315,28.37088315,20.24978196,15.47530416,12.61000262,10.91563289,9.847008615,9.149254454,8.696925354,8.366370788,8.154900529,7.950651,7.843649265,7.806688279,7.804048208,7.801408138,7.798768067,7.798768067,7.796127997
EU-15,H2 central production,solar,electrolysis,solar panels,25.63537748,25.63537748,25.63537748,25.63537748,25.63537748,18.29730861,13.98318346,11.39415279,9.863153296,8.897565213,8.267088142,7.858372376,7.559689708,7.3686093,7.184053404,7.087368719,7.053971492,7.051585976,7.04920046,7.046814944,7.046814944,7.044429427
Europe_Eastern,H2 central production,solar,electrolysis,solar panels,28.83067367,28.83067367,28.83067367,28.83067367,28.83067367,20.57795848,15.72610348,12.81436565,11.09253625,10.0065934,9.297531138,8.837871402,8.501959729,8.287062294,8.079502611,7.97076676,7.933206768,7.930523912,7.927841055,7.925158198,7.925158198,7.922475342
Europe_Non_EU,H2 central production,solar,electrolysis,solar panels,21.39039921,21.39039921,21.39039921,21.39039921,21.39039921,15.26744578,11.66769932,9.507387865,8.229907541,7.424211795,6.898135819,6.557099554,6.307875937,6.148436654,5.994441484,5.913766878,5.885899918,5.883909421,5.881918924,5.879928427,5.879928427,5.87793793
European Free Trade Association,H2 central production,solar,electrolysis,solar panels,42.72693897,42.72693897,42.72693897,42.72693897,42.72693897,30.49644925,23.30602023,18.99083683,16.43909278,14.82972997,13.77890264,13.09768882,12.59986911,12.281392,11.97378941,11.81264333,11.75697957,11.75300359,11.74902761,11.74505163,11.74505163,11.74107565
