# File: OTAQ_trn_data_DECARB_high_elec.csv
# Title: OTAQ-specific assumptions to layer into UCD_trn_data_CORE.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnn
# Source: 2021.10.05 Vehicle tables.xlsx workbook. BEV 3-wheeler data from UCD_trn_data_CORE file of CMP 316
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Passenger,LDV_4W,Subcompact Car,Hybrid Liquids,Liquids,Capital costs (other),2005$/veh,NA,NA,NA,3388.829071,3421.863076,3454.897081,3454.897081,3479.216359,3503.535638,3527.854916,3503.945412,3480.035908,3456.126404,3432.2169,3408.307396,3384.397892,3360.488388,3336.578884,3312.66938,3312.66938
Australia_NZ,Passenger,LDV_4W,Compact Car,BEV,Electricity,Capital costs (other),2005$/veh,NA,NA,NA,3422.456486,3110.278273,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006,2798.10006
Australia_NZ,Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,Capital costs (other),2005$/veh,NA,NA,NA,5182.327645,4371.421095,3560.514545,3560.514545,3449.63813,3338.761715,3227.8853,3220.519997,3213.154694,3205.789392,3198.424089,3191.058786,3183.693484,3176.328181,3168.962879,3161.597576,3161.597576
Australia_NZ,Passenger,LDV_4W,Compact Car,Hybrid Liquids,Liquids,Capital costs (other),2005$/veh,NA,NA,NA,2999.322481,2982.937639,2966.552797,2966.552797,2955.62957,2944.706342,2933.783114,2922.859887,2911.936659,2901.013431,2890.090204,2879.166976,2868.243748,2857.32052,2846.397293,2835.474065,2835.474065
Australia_NZ,Passenger,LDV_4W,Large Car,BEV,Electricity,Capital costs (other),2005$/veh,NA,NA,NA,6001.293126,5421.042359,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593,4840.791593
Australia_NZ,Passenger,LDV_4W,Large Car,FCEV,Hydrogen,Capital costs (other),2005$/veh,NA,NA,NA,7512.653659,6476.149724,5439.645789,5439.645789,5298.199104,5156.752419,5015.305734,5006.233837,4997.16194,4988.090042,4979.018145,4969.946248,4960.874351,4951.802454,4942.730557,4933.658659,4933.658659
Australia_NZ,Passenger,LDV_4W,Large Car,Hybrid Liquids,Liquids,Capital costs (other),2005$/veh,NA,NA,NA,4969.210411,4949.029082,4928.847753,4928.847753,4915.393533,4901.939314,4888.485094,4875.030875,4861.576655,4848.122436,4834.668216,4821.213997,4807.759777,4794.305558,4780.851338,4767.397119,4767.397119
Australia_NZ,Passenger,LDV_4W,Light Truck and SUV,BEV,Electricity,Capital costs (other),2005$/veh,NA,NA,NA,8084.183548,7468.950849,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151,6853.718151
Australia_NZ,Passenger,LDV_4W,Light Truck and SUV,FCEV,Hydrogen,Capital costs (other),2005$/veh,NA,NA,NA,11168.96976,9687.929061,8206.888365,8206.888365,8004.607813,7802.327261,7600.046709,7586.872997,7573.699285,7560.525573,7547.351861,7534.178149,7521.004437,7507.830724,7494.657012,7481.4833,7481.4833
Australia_NZ,Passenger,LDV_4W,Light Truck and SUV,Hybrid Liquids,Liquids,Capital costs (other),2005$/veh,NA,NA,NA,7436.77256,7407.46634,7378.160119,7378.160119,7358.622639,7339.085158,7319.547678,7300.010197,7280.472717,7260.935236,7241.397756,7221.860276,7202.322795,7182.785315,7163.247834,7143.710354,7143.710354
